Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Pedro Chirivella,es ESP,MF,26.0,32,31,2594.0,28.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,1.1,2.6,10.0,192.0,55.0,0.03,0.03,0.07,0.03,0.07,0.05,0.04,0.09,0.05,0.09,Matches
Alban Lafont,fr FRA,GK,24.0,28,28,2496.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-Charles Castelletto,cm CMR,DF,28.0,28,28,2464.0,27.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,0.8,1.4,24.0,100.0,31.0,0.07,0.0,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05,Matches
Florent Mollet,fr FRA,"MF,FW",31.0,29,24,2083.0,23.1,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,5.9,5.9,2.5,8.4,27.0,96.0,145.0,0.17,0.17,0.35,0.17,0.35,0.25,0.11,0.36,0.25,0.36,Matches
Mostafa Mohamed,eg EGY,FW,25.0,29,24,2002.0,22.2,8.0,2.0,10.0,5.0,3.0,3.0,3.0,1.0,7.8,5.5,2.4,7.8,23.0,25.0,115.0,0.36,0.09,0.45,0.22,0.31,0.35,0.11,0.46,0.25,0.35,Matches
Eray Cömert,ch SUI,DF,25.0,25,23,1995.0,22.2,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.2,0.8,7.0,57.0,3.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.04,0.03,0.04,Matches
Douglas,br BRA,MF,26.0,25,22,1772.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.2,1.2,1.1,2.3,12.0,105.0,18.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Moussa Sissoko,fr FRA,MF,33.0,26,21,1821.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1.3,1.1,2.3,30.0,74.0,59.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.12,0.06,0.12,Matches
Moses Simon,ng NGA,"FW,MF",28.0,22,21,1788.0,19.9,3.0,5.0,8.0,2.0,1.0,1.0,0.0,0.0,4.1,3.3,3.7,7.0,146.0,36.0,214.0,0.15,0.25,0.4,0.1,0.35,0.21,0.18,0.39,0.17,0.35,Matches
Marcus Coco,fr FRA,"DF,FW",27.0,28,18,1481.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.0,1.8,28.0,55.0,65.0,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11,Matches
