Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Harry Kane,eng ENG,FW,30.0,32,2839.0,89.0,92.8,31.5,32,89.0,27,0,0.0,0,2.16,85.0,39.0,46.0,1.46,0.24,81.1,28.6,52.5,1.66,1.46,Matches
Joshua Kimmich,de GER,"MF,DF",28.0,28,2176.0,78.0,71.1,24.2,27,79.0,17,1,31.0,0,1.93,62.0,31.0,31.0,1.28,-0.55,58.8,20.0,38.8,1.6,0.16,Matches
Leon Goretzka,de GER,MF,28.0,30,2241.0,75.0,73.2,24.9,25,84.0,17,5,28.0,0,2.0,64.0,39.0,25.0,1.0,-1.63,59.5,25.3,34.1,1.37,-0.7,Matches
Leroy Sané,de GER,FW,27.0,27,2137.0,79.0,69.8,23.7,25,84.0,16,2,24.0,0,2.19,67.0,26.0,41.0,1.73,0.95,63.7,19.6,44.1,1.86,0.99,Matches
Alphonso Davies,ca CAN,DF,22.0,29,2065.0,71.0,67.5,22.9,24,81.0,16,5,23.0,2,2.17,65.0,30.0,35.0,1.53,0.26,54.4,22.5,31.9,1.39,-0.52,Matches
Manuel Neuer,de GER,GK,37.0,23,2053.0,89.0,67.1,22.8,23,89.0,22,0,0.0,0,2.13,64.0,33.0,31.0,1.36,-0.25,58.1,23.2,34.9,1.53,-0.09,Matches
Kim Min-jae,kr KOR,DF,26.0,25,1970.0,79.0,64.4,21.9,22,86.0,18,3,24.0,3,2.16,61.0,28.0,33.0,1.51,0.19,53.8,18.9,34.8,1.59,0.09,Matches
Jamal Musiala,de GER,"MF,FW",20.0,24,1755.0,73.0,57.4,19.5,20,82.0,4,4,28.0,1,2.0,54.0,21.0,33.0,1.69,0.59,49.2,19.2,30.0,1.54,-0.05,Matches
Thomas Müller,de GER,"MF,FW",33.0,31,1654.0,53.0,54.1,18.4,20,74.0,4,11,16.0,3,2.19,51.0,22.0,29.0,1.58,0.3,43.4,16.8,26.6,1.45,-0.25,Matches
Dayot Upamecano,fr FRA,DF,24.0,25,1762.0,70.0,57.6,19.6,19,82.0,14,6,34.0,3,1.92,42.0,28.0,14.0,0.72,-1.71,43.4,16.3,27.1,1.38,-0.42,Matches
Konrad Laimer,at AUT,"DF,MF",26.0,29,1772.0,61.0,57.9,19.7,18,83.0,12,11,25.0,1,2.28,61.0,25.0,36.0,1.83,0.92,56.4,16.4,40.0,2.03,1.12,Matches
Matthijs de Ligt,nl NED,DF,23.0,22,1390.0,63.0,45.4,15.4,16,82.0,12,6,14.0,4,2.36,48.0,21.0,27.0,1.75,0.56,44.0,16.9,27.1,1.75,0.36,Matches
Noussair Mazraoui,ma MAR,DF,25.0,19,1197.0,63.0,39.1,13.3,15,73.0,8,4,24.0,2,2.11,40.0,16.0,24.0,1.8,0.6,37.1,11.3,25.8,1.94,0.63,Matches
Kingsley Coman,fr FRA,FW,27.0,17,1113.0,65.0,36.4,12.4,15,71.0,2,2,23.0,1,2.35,30.0,11.0,19.0,1.54,0.15,32.5,7.5,25.0,2.02,0.73,Matches
Aleksandar Pavlovic,de GER,MF,19.0,19,1227.0,65.0,40.1,13.6,14,79.0,7,5,25.0,6,2.42,35.0,17.0,18.0,1.32,-0.2,27.9,14.5,13.3,0.98,-0.97,Matches
Raphaël Guerreiro,pt POR,"DF,MF",29.0,20,1191.0,60.0,38.9,13.2,13,75.0,5,7,31.0,2,1.9,33.0,17.0,16.0,1.21,-0.38,33.0,13.2,19.8,1.49,-0.11,Matches
Eric Dier,eng ENG,DF,29.0,15,1166.0,78.0,38.1,13.0,13,85.0,11,2,29.0,3,1.87,36.0,21.0,15.0,1.16,-0.46,30.7,15.8,14.9,1.15,-0.66,Matches
Sven Ulreich,de GER,GK,34.0,11,990.0,90.0,32.4,11.0,11,90.0,11,0,0.0,21,2.09,30.0,12.0,18.0,1.64,0.29,27.0,8.9,18.2,1.65,0.14,Matches
Eric Maxim Choupo-Moting,cm CMR,"MF,FW",34.0,27,717.0,27.0,23.4,8.0,7,76.0,3,20,9.0,5,2.0,27.0,19.0,8.0,1.0,-0.57,24.2,9.6,14.6,1.83,0.35,Matches
Mathys Tel,fr FRA,"FW,MF",18.0,30,1050.0,35.0,34.3,11.7,6,85.0,4,24,22.0,4,2.1,37.0,17.0,20.0,1.71,0.42,26.9,14.7,12.3,1.05,-0.78,Matches
Serge Gnabry,de GER,"FW,MF",28.0,10,432.0,43.0,14.1,4.8,5,66.0,0,5,21.0,3,1.6,15.0,6.0,9.0,1.87,0.51,12.5,4.3,8.2,1.7,0.17,Matches
Bryan Zaragoza,es ESP,"FW,MF",22.0,7,183.0,26.0,6.0,2.0,1,74.0,0,6,18.0,6,1.29,4.0,6.0,-2.0,-0.98,-2.58,3.7,3.0,0.7,0.34,-1.3,Matches
Lovro Zvonarek,hr CRO,"FW,MF",18.0,5,163.0,33.0,5.3,1.8,1,89.0,0,4,19.0,9,2.4,2.0,4.0,-2.0,-1.1,-2.69,1.1,1.8,-0.8,-0.42,-2.09,Matches
Sacha Boey,fr FRA,DF,22.0,2,109.0,55.0,3.6,1.2,1,80.0,0,1,29.0,2,1.5,2.0,2.0,0.0,0.0,-1.49,1.2,1.2,-0.1,-0.06,-1.67,Matches
Bouna Sarr,sn SEN,DF,31.0,2,106.0,53.0,3.5,1.2,1,90.0,1,1,16.0,8,3.0,4.0,2.0,2.0,1.7,0.27,2.0,1.5,0.5,0.39,-1.21,Matches
Frans Krätzig,de GER,DF,20.0,4,56.0,14.0,1.8,0.6,0,0.0,0,4,14.0,16,3.0,6.0,0.0,6.0,9.64,8.35,3.2,0.1,3.1,4.82,3.33,Matches
Daniel Peretz,il ISR,GK,23.0,1,17.0,17.0,0.6,0.2,0,0.0,0,1,17.0,13,3.0,0.0,0.0,0.0,0.0,-1.45,0.0,0.0,0.0,-0.25,-1.82,Matches
