Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Carlos Alcaraz,ARG,Juventus,20,2002,4.2,6,1.42,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0,,Midfielder,Serie A
Rubén Alcaraz,ESP,Cádiz,32,1991,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0,,Midfielder,La Liga
Omar Alderete,PAR,Getafe,26,1996,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0,,Defender,La Liga
Iván Alejo,ESP,Cádiz,28,1995,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0,,Midfielder,La Liga
Carles Aleñá,ESP,Getafe,25,1998,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0,,Midfielder,La Liga
Trent Alexander-Arnold,ENG,Liverpool,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0,,Defender,Premier League
Aboubacar Ali,FRA,Strasbourg,17,2006,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0,Forward,Midfielder,Ligue 1
Mohamed Ali Cho,FRA,Real Sociedad,19,2004,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0,Midfielder,Forward,La Liga
Mohamed Ali Cho,FRA,Nice,19,2004,9.6,34,3.56,20,4,5,0,5,0,4,0.42,3,0,0,0,1,0,,Forward,Ligue 1
Faride Alidou,GER,Köln,22,2001,14.2,34,2.39,23,0,5,1,5,0,3,0.21,1,0,1,0,1,0,Midfielder,Forward,Bundesliga
