Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Danilo Cataldi,ITA,Lazio,28,1994,15.1,23,1.52,15,6,2,0,0,0,1,0.07,1,0,0,0,0,0,,Midfielder,Serie A
Catena,ESP,Osasuna,28,1994,28.2,14,0.50,13,0,0,1,0,0,4,0.14,4,0,0,0,0,0,,Defender,La Liga
Maximiliano Caufriez,BEL,Clermont Foot,26,1997,18.4,14,0.76,13,1,0,0,0,0,2,0.11,2,0,0,0,0,0,,Defender,Ligue 1
Ivan Cavaleiro,POR,Lille,29,1993,8.6,18,2.10,12,3,1,1,1,0,1,0.12,1,0,0,0,0,0,,Forward,Ligue 1
Dani Ceballos,ESP,Real Madrid,26,1996,6.6,25,3.77,22,0,1,0,2,0,2,0.30,2,0,0,0,0,0,Forward,Midfielder,La Liga
Emil Ceide,NOR,Sassuolo,21,2001,2.0,7,3.60,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Serie A
Zeki Çelik,TUR,Roma,26,1997,7.5,19,2.54,15,1,1,0,0,2,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Álex Centelles,ESP,Almería,25,1997,10.9,27,2.48,22,3,0,0,2,0,2,0.18,2,0,0,0,0,0,,Defender,La Liga
Fabien Centonze,FRA,Hellas Verona,27,1996,7.5,16,2.13,10,5,1,0,0,0,2,0.27,1,1,0,0,0,0,,Defender,Serie A
Fabien Centonze,FRA,Nantes,27,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Václav Černý,CZE,Wolfsburg,25,1997,10.2,32,3.12,30,1,1,0,0,0,4,0.39,4,0,0,0,0,0,Midfielder,Forward,Bundesliga
Michele Cerofolini,ITA,Frosinone,24,1999,7.5,1,0.13,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Alberto Cerri,ITA,Empoli,27,1996,6.1,8,1.32,6,0,0,2,0,0,1,0.16,0,0,0,1,0,0,,Forward,Serie A
Leonardo Cerri,ITA,Juventus,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Franco Cervi,ARG,Celta Vigo,29,1994,6.1,18,2.98,13,0,0,3,1,1,3,0.50,2,0,0,1,0,0,Defender,Midfielder,La Liga
Julian Chabot,GER,Köln,25,1998,30.0,36,1.20,24,2,0,4,5,1,1,0.03,0,0,0,1,0,0,,Defender,Bundesliga
El Chadaille Bitshiabu,FRA,RB Leipzig,18,2005,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,Bundesliga
Fares Chaïbi,ALG,Toulouse,20,2002,0.6,3,4.66,2,1,0,0,0,0,1,1.55,0,1,0,0,0,0,Midfielder,Forward,Ligue 1
Fares Chaïbi,ALG,Eint Frankfurt,20,2002,21.2,81,3.81,45,29,0,6,1,0,10,0.47,8,0,0,2,0,0,Forward,Midfielder,Bundesliga
Trevoh Chalobah,ENG,Chelsea,24,1999,10.6,5,0.47,5,0,0,0,0,0,1,0.09,1,0,0,0,0,0,,Defender,Premier League
Muhammed Cham,AUT,Clermont Foot,22,2000,28.4,119,4.20,71,27,3,8,10,0,9,0.32,4,3,0,2,0,0,Forward,Midfielder,Ligue 1
Calum Chambers,ENG,Aston Villa,28,1995,1.7,1,0.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Defender,Midfielder,Premier League
Timothy Chandler,USA,Eint Frankfurt,33,1990,0.2,3,14.21,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Defender,Midfielder,Bundesliga
Brendan Chardonnet,FRA,Brest,28,1994,33.0,28,0.85,24,1,0,2,1,0,4,0.12,2,0,0,1,1,0,,Defender,Ligue 1
Charlys,BRA,Hellas Verona,19,2004,0.3,4,14.40,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
Pep Chavarría,ESP,Rayo Vallecano,25,1998,13.0,35,2.70,27,1,1,2,4,0,1,0.08,1,0,0,0,0,0,Midfielder,Defender,La Liga
Jhoanner Chávez,ECU,Lens,21,2002,5.3,9,1.68,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Walid Cheddira,MAR,Frosinone,25,1998,23.6,38,1.61,24,0,1,5,8,0,6,0.25,4,0,0,1,1,0,,Forward,Serie A
Rayan Cherki,FRA,Lyon,19,2003,19.1,106,5.55,52,23,21,7,2,1,14,0.73,9,2,1,2,0,0,Forward,Midfielder,Ligue 1
Youssef Chermiti,POR,Everton,19,2004,2.3,7,3.03,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,,Forward,Premier League
Lucas Chevalier,FRA,Lille,21,2001,33.0,5,0.15,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,,Goalkeeper,Ligue 1
Fabio Chiarodia,ITA,Gladbach,18,2005,1.7,1,0.59,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Bundesliga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Federico Chiesa,ITA,Juventus,25,1997,24.4,117,4.79,70,17,14,7,8,1,9,0.37,5,0,2,0,2,0,,Forward,Serie A
Ben Chilwell,ENG,Chelsea,26,1996,8.4,22,2.62,11,8,0,1,2,0,2,0.24,1,0,0,1,0,0,,Defender,Premier League
Tawanda Chirewa,ZIM,Wolves,19,2003,1.6,3,1.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Premier League
Pedro Chirivella,ESP,Nantes,26,1997,28.8,69,2.39,61,3,0,3,0,2,4,0.14,4,0,0,0,0,0,,Midfielder,Ligue 1
Leon Chiwome,ENG,Wolves,17,2006,1.9,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Premier League
Tahith Chong,NED,Luton Town,23,1999,22.0,49,2.22,31,0,3,2,11,2,4,0.18,2,0,0,2,0,0,Forward,Midfielder,Premier League
Joris Chotard,FRA,Montpellier,21,2001,28.7,46,1.60,38,2,0,2,2,2,4,0.14,4,0,0,0,0,0,,Midfielder,Ligue 1
Andreas Christensen,DEN,Barcelona,27,1996,22.0,28,1.27,25,0,0,2,0,1,3,0.14,2,0,0,1,0,0,Midfielder,Defender,La Liga
Jacob Christensen,DEN,Köln,22,2001,2.4,6,2.45,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Bundesliga
Oliver Christensen,DEN,Fiorentina,24,1999,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Ryan Christie,SCO,Bournemouth,28,1995,32.3,117,3.62,88,8,7,5,6,3,6,0.19,5,1,0,0,0,0,,Midfielder,Premier League
Carney Chukwuemeka,ENG,Chelsea,19,2003,2.5,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0,Forward,Midfielder,Premier League
Samuel Chukwueze,NGA,Milan,24,1999,11.3,48,4.25,32,0,9,5,2,0,7,0.62,5,0,1,1,0,0,,Forward,Serie A
Víctor Chust,ESP,Cádiz,23,2000,20.7,16,0.77,15,0,0,1,0,0,1,0.05,1,0,0,0,0,0,,Defender,La Liga
Pathé Ciss,SEN,Rayo Vallecano,29,1994,18.5,29,1.57,17,0,3,1,5,3,2,0.11,1,0,0,0,1,0,,Midfielder,La Liga
Alphadjo Cissè,ITA,Hellas Verona,16,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Serie A
Djaoui Cissé,FRA,Rennes,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Ibrahim Cissoko,NED,Toulouse,20,2003,2.7,15,5.58,9,0,5,0,0,1,1,0.37,1,0,0,0,0,0,Midfielder,Forward,Ligue 1
Giorgio Cittadini,ITA,Monza,21,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Giorgio Cittadini,ITA,Genoa,21,2002,1.2,2,1.70,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Patrick Ciurria,ITA,Monza,28,1995,17.8,53,2.98,43,4,2,2,1,1,3,0.17,2,0,0,1,0,0,Midfielder,Defender,Serie A
Bobby Clark,ENG,Liverpool,18,2005,1.0,1,1.01,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Premier League
Jordan Clark,ENG,Luton Town,29,1993,14.5,29,2.00,23,0,2,3,1,0,1,0.07,1,0,0,0,0,0,,Midfielder,Premier League
Alexis Claude-Maurice,FRA,Nice,25,1998,5.6,14,2.50,9,3,0,1,1,0,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Jonathan Clauss,FRA,Marseille,30,1992,23.0,76,3.31,53,16,1,3,2,1,5,0.22,4,1,0,0,0,0,,Defender,Ligue 1
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Silvi Clúa,ESP,Girona,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Nathaniel Clyne,ENG,Crystal Palace,32,1991,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0,,Defender,Premier League
Marcus Coco,FRA,Nantes,27,1996,16.5,30,1.82,26,0,1,1,2,0,2,0.12,1,0,0,1,0,0,Forward,Defender,Ligue 1
Saúl Coco,EQG,Las Palmas,24,1999,25.5,6,0.24,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Séamus Coleman,IRL,Everton,34,1988,7.4,6,0.81,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Premier League
Maxime Colin,FRA,Metz,31,1991,20.4,24,1.18,16,4,1,1,1,1,1,0.05,0,0,0,0,1,0,,Defender,Ligue 1
Nathan Collins,IRL,Brentford,22,2001,29.5,24,0.81,22,0,0,1,0,1,2,0.07,2,0,0,0,0,0,,Defender,Premier League
Nnamdi Collins,GER,Eint Frankfurt,19,2004,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Bundesliga
Lorenzo Colombo,ITA,Monza,21,2002,15.1,28,1.85,19,0,4,3,2,0,6,0.40,4,0,2,0,0,0,,Forward,Serie A
Andrea Colpani,ITA,Monza,24,1999,29.5,120,4.06,79,20,8,5,7,1,10,0.34,8,0,2,0,0,0,Forward,Midfielder,Serie A
Levi Colwill,ENG,Chelsea,20,2003,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0,,Defender,Premier League
Kingsley Coman,FRA,Bayern Munich,27,1996,12.4,63,5.09,50,0,6,4,3,0,7,0.57,6,0,0,1,0,0,,Forward,Bundesliga
Eray Cömert,SUI,Nantes,25,1998,22.2,16,0.72,11,0,0,2,1,2,1,0.05,0,0,0,1,0,0,,Defender,Ligue 1
Santi Comesaña,ESP,Villarreal,26,1996,18.4,37,2.02,31,1,0,3,1,1,3,0.16,2,0,0,1,0,0,,Midfielder,La Liga
Pietro Comuzzo,ITA,Fiorentina,18,2005,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Defender,Serie A
Alois Confais,FRA,Le Havre,26,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Ligue 1
Andrea Consigli,ITA,Sassuolo,36,1987,35.0,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Bambasé Conté,GER,Hoffenheim,20,2003,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Bundesliga
Nikita Contini Baranovsky,ITA,Napoli,27,1996,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Lewis Cook,ENG,Bournemouth,26,1997,31.0,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1,,Midfielder,Premier League
Copete,ESP,Mallorca,23,1999,14.8,8,0.54,6,0,0,1,0,1,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Diego Coppola,ITA,Hellas Verona,19,2003,18.2,8,0.44,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Francis Coquelin,FRA,Villarreal,32,1991,10.1,16,1.58,12,0,0,0,1,3,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Tommaso Corazza,ITA,Bologna,19,2004,2.2,3,1.38,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Theo Corbeanu,CAN,Granada,21,2002,2.0,4,1.80,2,1,0,1,0,0,1,0.45,1,0,0,0,0,0,Forward,Midfielder,La Liga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Jeppe Corfitzen,DEN,Lecce,18,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Serie A
Jack Cork,ENG,Burnley,34,1989,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Premier League
Maxwel Cornet,CIV,West Ham,26,1996,1.2,5,4.02,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Premier League
Giacomo Corona,ITA,Empoli,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Serie A
Jesús Corona,MEX,Sevilla,30,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Defender,Midfielder,La Liga
Ángel Correa,ARG,Atlético Madrid,28,1995,17.0,68,4.00,48,2,11,3,2,2,11,0.65,8,0,2,0,0,1,Midfielder,Forward,La Liga
Joaquín Correa,ARG,Marseille,28,1994,4.8,12,2.51,9,0,2,0,1,0,1,0.21,1,0,0,0,0,0,Midfielder,Forward,Ligue 1
Thierry Correia,POR,Valencia,24,1999,23.9,51,2.13,38,6,3,1,3,0,7,0.29,3,2,0,1,1,0,,Defender,La Liga
Oscar Cortés,COL,Lens,19,2003,0.5,1,2.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Ligue 1
Danny da Costa,GER,Mainz 05,30,1993,9.2,18,1.95,13,3,2,0,0,0,1,0.11,1,0,0,0,0,0,,Defender,Bundesliga
David Pereira da Costa,POR,Lens,22,2001,16.6,55,3.32,30,12,5,4,4,0,6,0.36,4,0,0,1,1,0,,Midfielder,Ligue 1
Jaume Costa,ESP,Mallorca,35,1988,18.7,42,2.25,33,5,1,0,3,0,2,0.11,2,0,0,0,0,0,,Defender,La Liga
João Costa,BRA,Roma,18,2005,0.2,2,12.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Serie A
Logan Costa,CPV,Toulouse,22,2001,29.4,21,0.71,21,0,0,0,0,0,2,0.07,2,0,0,0,0,0,,Defender,Ligue 1
Samu Costa,POR,Mallorca,22,2000,25.6,47,1.84,42,3,1,1,0,0,3,0.12,3,0,0,0,0,0,,Midfielder,La Liga
Benoît Costil,FRA,Salernitana,36,1987,13.0,4,0.31,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Grégoire Coudert,FRA,Brest,24,1999,2.0,1,0.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Ligue 1
Vladimír Coufal,CZE,West Ham,30,1992,34.8,77,2.21,50,18,3,2,3,1,12,0.34,12,0,0,0,0,0,,Defender,Premier League
Lassana Coulibaly,MLI,Salernitana,27,1996,23.1,40,1.73,35,0,0,1,2,2,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
Mamadou Coulibaly,SEN,Salernitana,24,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Mamadou Coulibaly,FRA,Monaco,19,2004,1.3,5,3.81,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Tanguy Coulibaly,FRA,Montpellier,22,2001,6.9,20,2.89,13,0,3,2,2,0,3,0.43,1,0,0,1,1,0,Midfielder,Forward,Ligue 1
Thibaut Courtois,BEL,Real Madrid,31,1992,3.7,1,0.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,La Liga
Philippe Coutinho,BRA,Aston Villa,31,1992,0.3,2,7.20,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Premier League
Yan Couto,BRA,Girona,21,2002,24.9,56,2.24,44,1,5,2,4,0,14,0.56,9,0,1,1,3,0,Forward,Defender,La Liga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Nicolas Cozza,FRA,Nantes,24,1999,9.9,15,1.51,9,0,1,0,5,0,0,0.00,0,0,0,0,0,0,,Defender,Ligue 1
Nicolas Cozza,FRA,Wolfsburg,24,1999,3.1,4,1.30,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Bundesliga
Alessio Cragno,ITA,Sassuolo,29,1994,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Crespo,POR,Rayo Vallecano,26,1996,5.9,10,1.71,7,0,0,0,1,2,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Aaron Cresswell,ENG,West Ham,33,1989,4.8,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,Forward,Defender,Premier League
Bryan Cristante,ITA,Roma,28,1995,36.5,82,2.24,69,0,0,9,4,0,16,0.44,9,0,0,6,1,0,Defender,Midfielder,Serie A
Cristian,ESP,Valencia,25,1998,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,La Liga
Juan Cruz Armada,ESP,Osasuna,31,1992,18.5,12,0.65,10,2,0,0,0,0,1,0.05,1,0,0,0,0,0,,Defender,La Liga
Juan Cruz,ARG,Hellas Verona,24,1999,1.2,3,2.48,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Serie A
Juan Cruz,ESP,Betis,23,2000,0.8,5,5.92,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,La Liga
Juan Cuadrado,COL,Inter,35,1988,3.0,13,4.38,11,1,0,1,0,0,3,1.01,3,0,0,0,0,0,,Defender,Serie A
Pau Cubarsí,ESP,Barcelona,16,2007,17.3,17,0.98,17,0,0,0,0,0,1,0.06,1,0,0,0,0,0,,Defender,La Liga
Marc Cucurella,ESP,Chelsea,25,1998,19.8,35,1.77,28,1,1,1,4,0,3,0.15,2,0,0,0,1,0,,Defender,Premier League
Iván Cuéllar,ESP,Mallorca,39,1984,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,La Liga
Jorge Cuenca,ESP,Villarreal,23,1999,21.8,15,0.69,12,0,2,0,0,1,2,0.09,2,0,0,0,0,0,,Defender,La Liga
Josh Cullen,IRL,Burnley,27,1996,22.9,66,2.89,56,6,0,1,2,1,8,0.35,6,2,0,0,0,0,,Midfielder,Premier League
Matheus Cunha,BRA,Wolves,24,1999,27.1,78,2.88,46,1,12,8,8,3,13,0.48,9,0,1,1,1,1,Midfielder,Forward,Premier League
Marvin Cuni,ALB,Frosinone,22,2001,5.9,17,2.88,11,0,1,1,3,1,1,0.17,0,0,0,0,1,0,,Forward,Serie A
Eric Curbelo,ESP,Las Palmas,29,1994,1.1,1,0.88,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,La Liga
Sam Curtis,IRL,Sheffield Utd,17,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Premier League
Tomáš Čvančara,CZE,Gladbach,22,2000,10.0,20,2.01,10,0,2,7,0,1,3,0.30,1,0,0,2,0,0,,Forward,Bundesliga
Danilo D'Ambrosio,ITA,Monza,34,1988,17.1,14,0.82,5,0,2,4,1,2,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Alberto Dadie,ESP,Real Sociedad,21,2002,0.3,1,3.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Trévis Dago,CIV,Lille,18,2005,0.3,2,7.83,1,0,1,0,0,0,2,7.83,1,0,1,0,0,0,Midfielder,Forward,Ligue 1
Finn Dahmen,GER,Augsburg,25,1998,31.0,10,0.32,6,4,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Bundesliga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Mahmoud Dahoud,GER,Brighton,27,1996,5.0,13,2.59,13,0,0,0,0,0,2,0.40,2,0,0,0,0,0,,Midfielder,Premier League
Mahmoud Dahoud,GER,Stuttgart,27,1996,2.5,11,4.36,10,1,0,0,0,0,1,0.40,1,0,0,0,0,0,,Midfielder,Bundesliga
Ameen Al-Dakhil,BEL,Burnley,21,2002,11.7,8,0.68,5,0,1,2,0,0,1,0.09,1,0,0,0,0,0,,Defender,Premier League
Thijs Dallinga,NED,Toulouse,22,2000,27.9,49,1.76,33,0,4,8,2,2,9,0.32,6,0,0,2,1,0,,Forward,Ligue 1
Diogo Dalot,POR,Manchester Utd,24,1999,35.3,78,2.21,67,4,2,3,1,1,7,0.20,6,0,0,1,0,0,,Defender,Premier League
Mikkel Damsgaard,DEN,Brentford,23,2000,9.4,26,2.78,18,3,0,3,1,1,5,0.54,3,0,0,1,1,0,,Midfielder,Premier League
Flavius Daniliuc,AUT,Salernitana,22,2001,8.3,10,1.21,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Danilo,BRA,Nott'ham Forest,22,2001,19.9,48,2.41,34,5,4,4,1,0,4,0.20,4,0,0,0,0,0,,Midfielder,Premier League
Danilo,BRA,Juventus,32,1991,27.2,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1,,Defender,Serie A
Arnaut Danjuma,NED,Everton,26,1997,6.6,18,2.72,9,0,1,5,2,1,1,0.15,0,0,0,1,0,0,Forward,Midfielder,Premier League
Jayden Danns,ENG,Liverpool,17,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Premier League
Kevin Danso,AUT,Lens,24,1998,29.5,32,1.08,27,0,0,3,1,1,3,0.10,3,0,0,0,0,0,,Defender,Ligue 1
Dante,BRA,Nice,39,1983,31.6,51,1.61,49,0,0,2,0,0,6,0.19,6,0,0,0,0,0,,Defender,Ligue 1
Raimane Daou,COM,Marseille,18,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Defender,Ligue 1
Mohammed Daramy,DEN,Reims,21,2002,18.3,59,3.22,43,0,9,3,4,0,8,0.44,7,0,1,0,0,0,Midfielder,Forward,Ligue 1
Sergi Darder,ESP,Mallorca,29,1993,24.0,91,3.80,53,29,1,3,4,1,7,0.29,3,4,0,0,0,0,,Midfielder,La Liga
Achraf Dari,MAR,Brest,24,1999,1.3,1,0.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Defender,Ligue 1
Matteo Darmian,ITA,Inter,33,1989,26.7,55,2.06,45,6,0,2,2,0,3,0.11,2,0,0,0,1,0,,Defender,Serie A
Lukas Daschner,GER,Bochum,24,1998,6.0,20,3.35,15,1,1,1,2,0,2,0.33,2,0,0,0,0,0,Forward,Midfielder,Bundesliga
Josh Dasilva,ENG,Brentford,24,1998,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Forward,Defender,Premier League
David Datro Fofana,CIV,Burnley,20,2002,9.8,18,1.84,8,0,4,4,1,1,2,0.20,0,0,2,0,0,0,,Forward,Premier League
David Datro Fofana,CIV,Union Berlin,20,2002,7.6,28,3.70,14,1,6,7,0,0,2,0.26,2,0,0,0,0,0,Midfielder,Forward,Bundesliga
Juan David Cabal,COL,Hellas Verona,22,2001,16.6,40,2.41,28,3,1,2,2,4,2,0.12,1,0,0,0,0,1,,Defender,Serie A
Jonathan David,CAN,Lille,23,2000,29.2,77,2.64,58,1,3,9,6,0,9,0.31,3,0,1,3,2,0,,Forward,Ligue 1
Alphonso Davies,CAN,Bayern Munich,22,2000,22.9,76,3.31,63,1,7,1,2,2,14,0.61,10,1,2,0,1,0,,Defender,Bundesliga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Ben Davies,WAL,Tottenham,30,1993,12.1,15,1.24,14,0,0,0,1,0,2,0.17,1,0,0,0,1,0,,Defender,Premier League
Tom Davies,ENG,Sheffield Utd,25,1998,2.5,6,2.44,4,0,0,1,0,1,1,0.41,0,0,0,0,0,1,,Midfielder,Premier League
Keinan Davis,ENG,Udinese,25,1998,2.1,11,5.32,8,0,0,3,0,0,1,0.48,0,0,0,1,0,0,Midfielder,Forward,Serie A
Paweł Dawidowicz,POL,Hellas Verona,28,1995,23.8,11,0.46,8,1,0,2,0,0,1,0.04,0,0,0,1,0,0,,Defender,Serie A
Craig Dawson,ENG,Wolves,33,1990,24.5,12,0.49,8,0,0,3,0,1,1,0.04,0,0,0,1,0,0,,Defender,Premier League
Kevin De Bruyne,BEL,Manchester City,32,1991,13.6,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0,,Midfielder,Premier League
Charles De Ketelaere,BEL,Atalanta,22,2001,22.5,93,4.13,70,2,8,2,8,3,10,0.44,10,0,0,0,0,0,Midfielder,Forward,Serie A
Rodrigo De Paul,ARG,Atlético Madrid,29,1994,23.1,82,3.55,71,3,2,3,3,0,12,0.52,10,0,0,2,0,0,,Midfielder,La Liga
Mattia De Sciglio,ITA,Juventus,30,1992,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
Lorenzo De Silvestri,ITA,Bologna,35,1988,7.5,4,0.53,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,,Defender,Serie A
Thibault De Smet,BEL,Reims,25,1998,20.3,23,1.13,18,1,2,1,1,0,1,0.05,0,0,0,0,1,0,,Defender,Ligue 1
Koni De Winter,BEL,Genoa,21,2002,26.4,24,0.91,20,1,0,2,0,1,3,0.11,1,0,0,2,0,0,,Defender,Serie A
Grégoire Defrel,MTQ,Sassuolo,32,1991,8.4,19,2.26,16,1,0,2,0,0,2,0.24,2,0,0,0,0,0,Midfielder,Forward,Serie A
Alessandro Deiola,ITA,Cagliari,27,1995,17.9,28,1.57,23,1,0,3,0,1,0,0.00,0,0,0,0,0,0,,Midfielder,Serie A
