Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Sergio Ortuño,es ESP,MF,25-111,41,39,3419.0,38.0,4.0,5.0,9.0,4.0,0.0,0.0,8.0,0.0,2.4,2.4,2.8,5.1,38.0,275.0,75.0,0.11,0.13,0.24,0.11,0.24,0.06,0.07,0.14,0.06,0.14,Matches
Marc Mateu,es ESP,"DF,MF",34-005,38,38,3283.0,36.5,0.0,7.0,7.0,0.0,0.0,1.0,3.0,0.0,1.3,0.5,5.7,6.2,46.0,82.0,86.0,0.0,0.19,0.19,0.0,0.19,0.04,0.16,0.19,0.01,0.17,Matches
David Timor,es ESP,MF,34-248,37,37,3008.0,33.4,1.0,0.0,1.0,1.0,0.0,1.0,13.0,0.0,1.8,1.0,2.1,3.1,10.0,131.0,8.0,0.03,0.0,0.03,0.03,0.03,0.05,0.06,0.12,0.03,0.09,Matches
Tony Abad,es ESP,DF,27-231,34,32,2861.0,31.8,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,2.0,2.2,38.0,131.0,179.0,0.0,0.19,0.19,0.0,0.19,0.0,0.06,0.07,0.0,0.07,Matches
Dario Đumić,ba BIH,DF,32-143,32,30,2526.0,28.1,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,1.6,1.6,0.6,2.2,4.0,44.0,4.0,0.07,0.04,0.11,0.07,0.11,0.06,0.02,0.08,0.06,0.08,Matches
Chapela,es ESP,"MF,FW",25-031,40,29,2452.0,27.2,9.0,0.0,9.0,8.0,1.0,1.0,2.0,0.0,5.3,4.5,1.1,5.6,52.0,81.0,124.0,0.33,0.0,0.33,0.29,0.29,0.19,0.04,0.24,0.17,0.21,Matches
Soberón,es ESP,FW,27-034,34,26,2320.0,25.8,9.0,4.0,13.0,7.0,2.0,2.0,2.0,0.0,6.8,5.2,3.2,8.5,34.0,42.0,170.0,0.35,0.16,0.5,0.27,0.43,0.26,0.13,0.39,0.2,0.33,Matches
Carlos Hernández,es ESP,DF,33-280,27,26,2234.0,24.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.4,1.4,0.8,2.3,2.0,27.0,6.0,0.04,0.0,0.04,0.04,0.04,0.06,0.03,0.09,0.06,0.09,Matches
Piña,es ESP,DF,29-235,28,25,2340.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.4,1.8,5.0,34.0,2.0,0.0,0.08,0.08,0.0,0.08,0.02,0.05,0.07,0.02,0.07,Matches
Jesús Clemente,es ESP,"MF,FW",24-172,36,24,1980.0,22.0,2.0,3.0,5.0,2.0,0.0,0.0,8.0,0.0,2.9,2.9,2.2,5.1,37.0,55.0,127.0,0.09,0.14,0.23,0.09,0.23,0.13,0.1,0.23,0.13,0.23,Matches
Juanto Ortuño,es ESP,FW,32-131,37,23,1823.0,20.3,11.0,0.0,11.0,10.0,1.0,1.0,3.0,0.0,5.4,4.6,1.0,5.6,10.0,33.0,101.0,0.54,0.0,0.54,0.49,0.49,0.27,0.05,0.31,0.23,0.27,Matches
Florin Andone,ro ROU,FW,31-071,29,19,1411.0,15.7,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,4.1,4.1,1.3,5.3,16.0,20.0,79.0,0.19,0.06,0.26,0.19,0.26,0.26,0.08,0.34,0.26,0.34,Matches
Álex Bernal,es ESP,"MF,FW",33-110,34,18,1702.0,18.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.1,2.1,20.0,76.0,66.0,0.0,0.11,0.11,0.0,0.11,0.05,0.06,0.11,0.05,0.11,Matches
