Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Sergio Ortuño,es ESP,MF,25-111,38.0,2415,63,367,1376,684,37,2415,26,12,46.2,12,46.2,1104,4045,1990,38,30,3,32,12,1616,75,Matches
Marc Mateu,es ESP,"DF,MF",34-005,36.5,2045,119,649,774,660,15,2044,61,29,47.5,26,42.6,811,4445,2094,46,46,6,25,16,869,86,Matches
David Timor,es ESP,MF,34-248,33.4,1650,147,506,959,201,18,1649,20,12,60.0,8,40.0,627,2980,1390,10,22,1,17,8,759,8,Matches
Tony Abad,es ESP,DF,27-231,31.8,2180,84,469,1012,721,39,2180,41,15,36.6,25,61.0,918,3775,1582,38,33,4,28,15,1129,179,Matches
Dario Đumić,ba BIH,DF,32-143,28.1,1217,148,705,475,46,28,1217,4,4,100.0,0,0.0,601,2561,1216,4,4,0,13,2,646,4,Matches
Chapela,es ESP,"MF,FW",25-031,27.2,949,25,163,353,444,87,948,74,21,28.4,46,62.2,504,3195,1476,52,40,21,69,27,606,124,Matches
Soberón,es ESP,FW,27-034,25.8,801,11,53,344,418,87,799,47,17,36.2,29,61.7,488,2525,945,34,25,11,79,36,578,170,Matches
Carlos Hernández,es ESP,DF,33-280,24.8,1108,191,642,404,67,46,1108,6,3,50.0,2,33.3,453,2180,881,2,1,0,14,1,482,6,Matches
Piña,es ESP,DF,29-235,26.0,1049,172,656,361,34,15,1049,6,3,50.0,2,33.3,519,2504,1070,5,9,1,8,1,563,2,Matches
Jesús Clemente,es ESP,"MF,FW",24-172,22.0,945,19,136,384,435,65,945,32,9,28.1,21,65.6,513,2438,903,37,27,10,74,40,632,127,Matches
Juanto Ortuño,es ESP,FW,32-131,20.3,678,15,50,295,336,75,677,38,15,39.5,23,60.5,380,1366,439,10,11,6,74,32,518,101,Matches
Florin Andone,ro ROU,FW,31-071,15.7,485,14,28,200,263,72,485,32,9,28.1,20,62.5,264,1179,349,16,11,11,73,34,362,79,Matches
Álex Bernal,es ESP,"MF,FW",33-110,18.9,810,11,131,437,257,24,810,32,16,50.0,11,34.4,421,2161,988,20,12,1,36,10,500,66,Matches
Álvaro Aceves,es ESP,GK,20-331,14.0,442,329,434,8,0,0,442,0,0,0.0,0,0.0,193,1071,477,0,0,0,0,0,134,0,Matches
Derick,br BRA,"DF,MF",30-294,14.8,721,52,240,296,193,11,721,25,10,40.0,14,56.0,285,1944,920,31,28,6,23,11,283,37,Matches
Cris Montes,es ESP,MF,26-316,12.1,851,4,77,439,343,23,851,43,25,58.1,17,39.5,571,2962,1454,40,38,8,14,11,661,76,Matches
Vallejo,es ESP,GK,29-060,11.0,379,318,375,4,0,0,379,1,1,100.0,0,0.0,192,1183,784,0,0,0,0,0,127,0,Matches
Andoni Zubiaurre,es ESP,GK,27-200,10.0,318,255,317,0,1,0,318,0,0,0.0,0,0.0,138,783,558,0,0,0,0,0,96,0,Matches
Pedro Capó,es ESP,"MF,DF",33-193,11.1,717,42,254,398,68,6,717,1,0,0.0,0,0.0,355,1719,1028,12,8,0,7,2,414,6,Matches
Ian Mackay,es ESP,GK,37-343,7.0,203,187,203,0,0,0,203,0,0,0.0,0,0.0,90,795,516,0,0,0,0,0,37,0,Matches
Joel Jorquera,es ESP,"MF,FW",23-307,8.9,365,9,63,132,179,31,365,34,14,41.2,20,58.8,205,1651,795,27,23,12,36,22,196,37,Matches
Dauda Mohammed,gh GHA,"FW,MF",26-122,5.2,168,4,12,74,85,20,168,10,5,50.0,5,50.0,84,517,188,12,7,3,11,11,120,29,Matches
