Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Altube,es ESP,GK,24-120,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Pacheco,es ESP,MF,22-170,27,3,604.0,6.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.7,12.0,44.0,17.0,0.15,0.15,0.3,0.15,0.3,0.08,0.17,0.25,0.08,0.25,Matches
Toni Datković,hr CRO,DF,30-228,8,3,320.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Samuel Shashoua,eng ENG,"FW,MF",25-039,17,1,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.7,11.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.27,0.2,0.27,Matches
Pedro Benito,es ESP,FW,24-086,7,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,1.32,1.32,Matches
Jovanny Bolívar,ve VEN,FW,22-188,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Javi Vargas,es ESP,MF,23-107,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergi Maestre,es ESP,MF,33-216,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Moreno,es ESP,FW,20-128,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Roldán,es ESP,MF,21-096,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.7,42,462,3780.0,42.0,47.0,37.0,84.0,45.0,2.0,5.0,95.0,3.0,53.1,49.5,37.8,87.3,597.0,1648.0,1624.0,1.12,0.88,2.0,1.07,1.95,1.26,0.9,2.16,1.18,2.08,0
Opponent Total,0,0,27.7,42,462,3780.0,42.0,56.0,37.0,93.0,49.0,7.0,10.0,93.0,5.0,51.6,44.1,32.4,76.5,666.0,1431.0,1415.0,1.33,0.88,2.21,1.17,2.05,1.23,0.77,2.0,1.05,1.82,0
