Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Sam Kersten,nl NED,DF,25.0,34,34,3060.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.0,2.4,29.0,115.0,9.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,Matches
Jasper Schendelaar,nl NED,GK,22.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Bram van Polen,nl NED,DF,37.0,31,31,2657.0,29.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,2.4,2.4,1.7,4.1,30.0,77.0,97.0,0.0,0.07,0.07,0.0,0.07,0.08,0.06,0.14,0.08,0.14,Matches
Thomas Lam,fi FIN,DF,29.0,31,31,2649.0,29.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,3.1,3.1,0.6,3.6,12.0,84.0,8.0,0.07,0.0,0.07,0.07,0.07,0.1,0.02,0.12,0.1,0.12,Matches
Lennart Thy,de GER,"FW,MF",31.0,32,30,2674.0,29.7,13.0,2.0,15.0,13.0,0.0,0.0,2.0,0.0,8.8,8.8,1.7,10.5,18.0,70.0,118.0,0.44,0.07,0.5,0.44,0.5,0.29,0.06,0.35,0.29,0.35,Matches
Younes Namli,dk DEN,"FW,MF",29.0,30,30,2561.0,28.5,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,3.1,3.1,7.6,10.6,109.0,153.0,186.0,0.14,0.25,0.39,0.14,0.39,0.11,0.27,0.37,0.11,0.37,Matches
Anselmo García MacNulty,ie IRL,DF,20.0,31,30,2508.0,27.9,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,1.5,1.5,1.7,3.2,43.0,117.0,98.0,0.07,0.07,0.14,0.07,0.14,0.05,0.06,0.12,0.05,0.12,Matches
Dave Van Den Berg,nl NED,MF,23.0,30,29,2556.0,28.4,5.0,2.0,7.0,5.0,0.0,0.0,7.0,0.0,3.1,3.1,2.8,5.9,43.0,181.0,97.0,0.18,0.07,0.25,0.18,0.25,0.11,0.1,0.21,0.11,0.21,Matches
Odysseus Velanas,nl NED,"MF,FW",25.0,31,24,2143.0,23.8,5.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,4.1,9.1,57.0,56.0,159.0,0.21,0.21,0.42,0.21,0.42,0.21,0.17,0.38,0.21,0.38,Matches
Eliano Reijnders,nl NED,"FW,DF",22.0,32,24,2076.0,23.1,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.8,2.8,1.6,4.4,63.0,63.0,159.0,0.13,0.04,0.17,0.13,0.17,0.12,0.07,0.19,0.12,0.19,Matches
Zico Buurmeester,nl NED,MF,21.0,17,15,1362.0,15.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.7,0.7,0.9,1.6,9.0,60.0,29.0,0.0,0.13,0.13,0.0,0.13,0.05,0.06,0.11,0.05,0.11,Matches
Anouar El Azzouzi,nl NED,MF,22.0,22,14,1313.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.7,1.5,16.0,67.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
Ferdy Druijf,nl NED,"FW,MF",25.0,15,11,948.0,10.5,5.0,2.0,7.0,3.0,2.0,2.0,2.0,0.0,4.6,3.0,1.7,4.6,4.0,31.0,57.0,0.47,0.19,0.66,0.28,0.47,0.43,0.16,0.59,0.28,0.44,Matches
Filip Krastev,bg BUL,MF,21.0,14,10,902.0,10.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,1.1,2.6,35.0,58.0,34.0,0.2,0.1,0.3,0.2,0.3,0.15,0.11,0.26,0.15,0.26,Matches
Silvester van der Water,nl NED,"FW,MF",26.0,12,6,575.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,1.8,15.0,9.0,50.0,0.16,0.0,0.16,0.16,0.16,0.21,0.08,0.29,0.21,0.29,Matches
Ryan Thomas,nz NZL,MF,28.0,7,5,337.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,8.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Apostolos Vellios,gr GRE,"FW,MF",31.0,27,4,733.0,8.1,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,3.1,3.1,0.9,3.9,3.0,11.0,34.0,0.37,0.25,0.61,0.37,0.61,0.38,0.1,0.48,0.38,0.48,Matches
Nick Fichtinger,0,MF,0.0,6,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.3,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches
Damian van der Haar,0,DF,0.0,16,2,291.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Bart van Hintum,nl NED,DF,36.0,3,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,3.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
Mike Hauptmeijer,nl NED,GK,26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lennart-Marten Czyborra,de GER,DF,24.0,5,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Kaj de Rooij,nl NED,"FW,MF",22.0,5,1,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.9,4.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.17,0.29,0.47,0.17,0.47,Matches
Dean Huiberts,nl NED,"MF,DF",23.0,5,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.51,0.51,0.51,Matches
Nicolás Serrano,es ESP,"FW,MF",20.0,10,0,147.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.5,6.0,5.0,30.0,0.0,0.61,0.61,0.0,0.61,0.2,0.07,0.28,0.2,0.28,Matches
Divaio Jhaïr-Bobson,nl NED,"DF,FW",19.0,3,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Fontana,us USA,"MF,FW",23.0,4,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Mohamed Oukhattou,nl NED,"FW,MF",18.0,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.0,0.68,Matches
Teun Gijselhart,nl NED,MF,18.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Bos,0,DF,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daijiro Chirino,cw CUW,DF,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Görlich,de GER,DF,23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samir Lagsir,nl NED,MF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dylan Ruward,nl NED,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Duke Verduin,nl NED,GK,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kenneth Vermeer,nl NED,GK,37.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.4,34,374,3060.0,34.0,45.0,31.0,76.0,43.0,2.0,2.0,67.0,2.0,43.1,41.5,31.0,72.5,520.0,1239.0,1229.0,1.32,0.91,2.24,1.26,2.18,1.27,0.91,2.18,1.22,2.13,0
Opponent Total,0,0,25.2,34,374,3060.0,34.0,63.0,48.0,111.0,55.0,8.0,10.0,55.0,1.0,62.4,54.7,43.9,98.6,672.0,1485.0,1463.0,1.85,1.41,3.26,1.62,3.03,1.84,1.29,3.13,1.61,2.9,0
