Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Sam Kersten,nl NED,DF,25.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,0.0,0,1.06,45.0,67.0,-22.0,-0.65,0.0,43.1,62.4,-19.4,-0.57,0.0,Matches
Jasper Schendelaar,nl NED,GK,22.0,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,0.0,1,1.09,44.0,64.0,-20.0,-0.62,0.38,41.3,57.8,-16.5,-0.52,0.92,Matches
Bram van Polen,nl NED,DF,37.0,31,2657.0,86.0,86.8,29.5,31,86.0,25,0,0.0,1,1.16,41.0,55.0,-14.0,-0.47,1.31,37.3,53.9,-16.6,-0.56,0.05,Matches
Thomas Lam,fi FIN,DF,29.0,31,2649.0,85.0,86.6,29.4,31,85.0,26,0,0.0,0,1.03,37.0,51.0,-14.0,-0.48,1.28,39.0,50.1,-11.1,-0.38,1.42,Matches
Lennart Thy,de GER,"FW,MF",31.0,32,2674.0,84.0,87.4,29.7,30,88.0,27,2,23.0,0,1.03,41.0,59.0,-18.0,-0.61,0.33,38.4,56.5,-18.1,-0.61,-0.31,Matches
Younes Namli,dk DEN,"FW,MF",29.0,30,2561.0,85.0,83.7,28.5,30,85.0,16,0,0.0,0,1.17,41.0,48.0,-7.0,-0.25,2.46,37.5,49.0,-11.6,-0.41,1.0,Matches
Anselmo García MacNulty,ie IRL,DF,20.0,31,2508.0,81.0,82.0,27.9,30,83.0,14,1,12.0,2,1.13,35.0,51.0,-16.0,-0.57,0.4,33.6,51.1,-17.5,-0.63,-0.32,Matches
Dave Van Den Berg,nl NED,MF,23.0,30,2556.0,85.0,83.5,28.4,29,87.0,25,1,29.0,0,0.97,35.0,56.0,-21.0,-0.74,-0.56,34.5,51.9,-17.4,-0.61,-0.27,Matches
Odysseus Velanas,nl NED,"MF,FW",25.0,31,2143.0,69.0,70.0,23.8,24,82.0,9,7,25.0,2,1.16,32.0,40.0,-8.0,-0.34,1.04,31.4,45.0,-13.6,-0.57,0.0,Matches
Eliano Reijnders,nl NED,"FW,DF",22.0,32,2076.0,65.0,67.8,23.1,24,78.0,11,8,25.0,1,1.06,30.0,43.0,-13.0,-0.56,0.26,26.4,38.1,-11.7,-0.51,0.2,Matches
Zico Buurmeester,nl NED,MF,21.0,17,1362.0,80.0,44.5,15.1,15,88.0,14,2,23.0,1,1.12,18.0,26.0,-8.0,-0.53,0.21,18.3,23.0,-4.7,-0.31,0.47,Matches
Anouar El Azzouzi,nl NED,MF,22.0,22,1313.0,60.0,42.9,14.6,14,85.0,7,8,16.0,8,1.18,17.0,35.0,-18.0,-1.23,-1.03,17.4,30.2,-12.8,-0.88,-0.54,Matches
Ferdy Druijf,nl NED,"FW,MF",25.0,15,948.0,63.0,31.0,10.5,11,76.0,5,4,28.0,0,1.2,14.0,16.0,-2.0,-0.19,0.66,14.2,15.3,-1.0,-0.1,0.68,Matches
Filip Krastev,bg BUL,MF,21.0,14,902.0,64.0,29.5,10.0,10,82.0,5,4,21.0,1,0.71,13.0,22.0,-9.0,-0.9,-0.36,13.5,23.7,-10.2,-1.02,-0.64,Matches
Silvester van der Water,nl NED,"FW,MF",26.0,12,575.0,48.0,18.8,6.4,6,65.0,0,6,31.0,3,0.5,8.0,19.0,-11.0,-1.72,-1.32,5.9,14.7,-8.8,-1.38,-1.0,Matches
Ryan Thomas,nz NZL,MF,28.0,7,337.0,48.0,11.0,3.7,5,61.0,0,2,16.0,1,1.43,6.0,8.0,-2.0,-0.53,0.13,4.3,5.8,-1.6,-0.42,0.17,Matches
Apostolos Vellios,gr GRE,"FW,MF",31.0,27,733.0,27.0,24.0,8.1,4,79.0,2,23,18.0,7,0.89,13.0,24.0,-11.0,-1.35,-0.93,10.3,15.9,-5.6,-0.68,-0.15,Matches
Nick Fichtinger,0,MF,0.0,6,352.0,59.0,11.5,3.9,4,81.0,2,2,14.0,7,1.5,5.0,5.0,0.0,0.0,0.73,6.4,7.4,-1.1,-0.27,0.34,Matches
Damian van der Haar,0,DF,0.0,16,291.0,18.0,9.5,3.2,2,86.0,1,14,9.0,15,1.25,6.0,15.0,-9.0,-2.78,-2.36,3.7,13.2,-9.5,-2.92,-2.6,Matches
Bart van Hintum,nl NED,DF,36.0,3,181.0,60.0,5.9,2.0,2,90.0,2,1,1.0,0,1.0,2.0,5.0,-3.0,-1.49,-0.9,2.6,2.9,-0.3,-0.14,0.46,Matches
Mike Hauptmeijer,nl NED,GK,26.0,2,180.0,90.0,5.9,2.0,2,90.0,2,0,0.0,30,0.5,1.0,3.0,-2.0,-1.0,-0.38,1.7,4.6,-2.9,-1.43,-0.92,Matches
Lennart-Marten Czyborra,de GER,DF,24.0,5,153.0,31.0,5.0,1.7,2,62.0,0,3,10.0,14,0.8,1.0,3.0,-2.0,-1.18,-0.56,2.0,1.4,0.5,0.31,0.93,Matches
Kaj de Rooij,nl NED,"FW,MF",22.0,5,165.0,33.0,5.4,1.8,1,19.0,0,4,37.0,1,1.0,3.0,4.0,-1.0,-0.55,0.11,3.5,3.6,0.0,-0.03,0.57,Matches
Dean Huiberts,nl NED,"MF,DF",23.0,5,113.0,23.0,3.7,1.3,1,68.0,0,4,11.0,12,0.6,1.0,7.0,-6.0,-4.78,-4.29,1.8,3.6,-1.8,-1.39,-0.86,Matches
Nicolás Serrano,es ESP,"FW,MF",20.0,10,147.0,15.0,4.8,1.6,0,0.0,0,10,15.0,6,1.3,4.0,4.0,0.0,0.0,0.68,3.8,1.9,1.9,1.14,1.8,Matches
Divaio Jhaïr-Bobson,nl NED,"DF,FW",19.0,3,54.0,18.0,1.8,0.6,0,0.0,0,3,18.0,11,0.33,2.0,2.0,0.0,0.0,0.66,0.9,1.4,-0.5,-0.86,-0.3,Matches
