Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
William Saliba,fr FRA,DF,22.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,0.0,0,2.34,91.0,29.0,62.0,1.63,0.0,76.1,27.9,48.2,1.27,0.0,Matches
Declan Rice,eng ENG,MF,24.0,38,3225.0,85.0,94.3,35.8,37,87.0,29,1,24.0,0,2.34,84.0,28.0,56.0,1.56,-1.21,71.6,26.5,45.1,1.26,-0.18,Matches
Martin Ødegaard,no NOR,MF,24.0,35,3091.0,88.0,90.4,34.3,35,88.0,22,0,0.0,1,2.37,81.0,23.0,58.0,1.69,0.59,68.6,24.9,43.7,1.27,0.04,Matches
Ben White,eng ENG,DF,25.0,37,2988.0,81.0,87.4,33.2,35,85.0,27,2,7.0,0,2.32,81.0,26.0,55.0,1.66,0.2,67.4,24.7,42.7,1.29,0.13,Matches
Bukayo Saka,eng ENG,FW,21.0,35,2919.0,83.0,85.4,32.4,35,83.0,17,0,0.0,0,2.29,78.0,27.0,51.0,1.57,-0.4,66.4,25.0,41.3,1.27,0.04,Matches
Gabriel Magalhães,br BRA,DF,25.0,36,3044.0,85.0,89.0,33.8,34,89.0,32,2,13.0,2,2.36,78.0,26.0,52.0,1.54,-0.86,65.0,25.7,39.3,1.16,-0.98,Matches
David Raya,es ESP,GK,27.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,0.0,3,2.28,80.0,24.0,56.0,1.75,0.75,65.0,22.1,42.9,1.34,0.45,Matches
Kai Havertz,de GER,"MF,FW",24.0,37,2634.0,71.0,77.0,29.3,30,83.0,18,7,19.0,0,2.41,77.0,22.0,55.0,1.88,1.08,60.7,20.6,40.1,1.37,0.44,Matches
Gabriel Martinelli,br BRA,FW,22.0,35,2019.0,58.0,59.0,22.4,24,74.0,4,11,22.0,0,2.34,52.0,23.0,29.0,1.29,-0.83,43.8,14.5,29.3,1.3,0.09,Matches
Oleksandr Zinchenko,ua UKR,DF,26.0,27,1722.0,64.0,50.4,19.1,20,79.0,7,7,21.0,5,2.26,38.0,15.0,23.0,1.2,-0.87,38.5,12.1,26.4,1.38,0.22,Matches
Leandro Trossard,be BEL,"FW,MF",28.0,34,1649.0,49.0,48.2,18.3,18,72.0,3,16,22.0,3,2.32,45.0,10.0,35.0,1.91,0.54,37.3,13.6,23.7,1.3,0.05,Matches
Gabriel Jesus,br BRA,FW,26.0,27,1478.0,55.0,43.2,16.4,17,78.0,4,10,16.0,3,2.19,29.0,11.0,18.0,1.1,-0.94,31.3,11.4,19.9,1.21,-0.1,Matches
Jakub Kiwior,pl POL,DF,23.0,20,946.0,47.0,27.7,10.5,11,80.0,7,9,7.0,18,2.65,39.0,8.0,31.0,2.95,1.82,24.8,5.4,19.4,1.85,0.8,Matches
Takehiro Tomiyasu,jp JPN,DF,24.0,22,1149.0,52.0,33.6,12.8,10,85.0,7,12,25.0,1,2.41,30.0,10.0,20.0,1.57,-0.1,24.5,12.2,12.3,0.96,-0.47,Matches
Eddie Nketiah,eng ENG,FW,24.0,27,1082.0,40.0,31.6,12.0,10,78.0,3,17,18.0,11,2.15,24.0,10.0,14.0,1.16,-0.68,22.3,10.3,12.1,1.0,-0.39,Matches
Jorginho,it ITA,MF,31.0,24,921.0,38.0,26.9,10.2,10,78.0,3,14,10.0,13,2.42,25.0,11.0,14.0,1.37,-0.36,21.2,8.2,13.0,1.27,0.01,Matches
Thomas Partey,gh GHA,"MF,DF",30.0,14,788.0,56.0,23.0,8.8,9,79.0,4,5,16.0,3,2.71,20.0,5.0,15.0,1.71,0.11,15.3,8.4,6.9,0.79,-0.62,Matches
Aaron Ramsdale,eng ENG,GK,25.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,0.0,31,2.67,11.0,5.0,6.0,1.0,-0.75,11.1,5.8,5.3,0.89,-0.45,Matches
Emile Smith Rowe,eng ENG,MF,23.0,13,353.0,27.0,10.3,3.9,3,76.0,0,10,13.0,18,2.23,12.0,3.0,9.0,2.29,0.74,7.8,2.0,5.8,1.47,0.22,Matches
Fabio Vieira,pt POR,"MF,FW",23.0,11,297.0,27.0,8.7,3.3,2,62.0,0,9,19.0,13,2.36,11.0,2.0,9.0,2.73,1.2,8.2,1.8,6.4,1.94,0.74,Matches
Reiss Nelson,eng ENG,FW,23.0,15,268.0,18.0,7.8,3.0,1,74.0,0,14,14.0,15,2.27,10.0,1.0,9.0,3.02,1.51,7.0,2.2,4.8,1.62,0.39,Matches
Jurriën Timber,nl NED,DF,22.0,2,71.0,36.0,2.1,0.8,1,49.0,0,1,22.0,0,3.0,3.0,0.0,3.0,3.8,2.22,1.9,0.3,1.6,2.0,0.74,Matches
Cédric Soares,pt POR,DF,31.0,3,62.0,21.0,1.8,0.7,0,0.0,0,3,21.0,15,3.0,1.0,0.0,1.0,1.45,-0.18,0.9,0.5,0.4,0.62,-0.66,Matches
