Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Stijn van Gassel,nl NED,GK,26.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Siebe Horemans,be BEL,DF,25.0,34,34,3025.0,33.6,3.0,4.0,7.0,3.0,0.0,0.0,5.0,1.0,2.0,2.0,4.0,6.0,46.0,100.0,91.0,0.09,0.12,0.21,0.09,0.21,0.06,0.12,0.18,0.06,0.18,Matches
Julian Baas,nl NED,MF,21.0,33,33,2882.0,32.0,2.0,2.0,4.0,1.0,1.0,1.0,8.0,0.0,1.7,0.9,3.4,4.3,20.0,95.0,46.0,0.06,0.06,0.12,0.03,0.09,0.05,0.11,0.16,0.03,0.14,Matches
Arthur Zagre,fr FRA,DF,21.0,28,28,2313.0,25.7,1.0,4.0,5.0,1.0,0.0,0.0,6.0,1.0,1.6,1.6,1.5,3.1,66.0,72.0,79.0,0.04,0.16,0.19,0.04,0.19,0.06,0.06,0.12,0.06,0.12,Matches
Casper Widell,se SWE,DF,20.0,30,27,2326.0,25.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.0,6.0,59.0,1.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,Matches
Redouan El Yaakoubi,nl NED,"DF,MF",27.0,27,25,2262.0,25.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.2,3.4,29.0,122.0,12.0,0.0,0.12,0.12,0.0,0.12,0.05,0.09,0.14,0.05,0.14,Matches
Couhaib Driouech,ma MAR,"FW,MF",21.0,26,24,1920.0,21.3,6.0,6.0,12.0,6.0,0.0,0.0,4.0,0.0,4.3,4.3,5.7,10.0,123.0,64.0,147.0,0.28,0.28,0.56,0.28,0.56,0.2,0.27,0.47,0.2,0.47,Matches
Lazaros Lamprou,gr GRE,"FW,MF",25.0,28,20,1616.0,18.0,6.0,5.0,11.0,6.0,0.0,0.0,4.0,1.0,7.6,7.6,3.6,11.2,68.0,45.0,114.0,0.33,0.28,0.61,0.33,0.61,0.42,0.2,0.62,0.42,0.62,Matches
Cisse Sandra,be BEL,MF,19.0,26,19,1670.0,18.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,0.9,3.0,15.0,46.0,35.0,0.05,0.05,0.11,0.05,0.11,0.11,0.05,0.16,0.11,0.16,Matches
Troy Parrott,ie IRL,FW,21.0,25,18,1588.0,17.6,10.0,4.0,14.0,10.0,0.0,0.0,2.0,1.0,9.5,9.5,3.3,12.8,38.0,22.0,82.0,0.57,0.23,0.79,0.57,0.79,0.53,0.18,0.72,0.53,0.72,Matches
Kenzo Goudmijn,nl NED,"MF,FW",21.0,18,18,1570.0,17.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,2.1,3.0,54.0,155.0,39.0,0.0,0.11,0.11,0.0,0.11,0.05,0.12,0.17,0.05,0.17,Matches
