Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Jesús Ruiz,es ESP,GK,27-153,29.0,41,4,0,3,0,44.9,0.29,3.9,0.14,175,438,40.0,708,107,39.0,36.9,251,64.5,48.8,474,19,4.0,12,0.41,9.8,Matches
Lucas Anacker,br BRA,GK,27-273,13.0,12,2,0,1,0,13.6,0.26,1.6,0.12,117,258,45.3,255,36,52.9,42.0,148,83.1,59.4,219,15,6.8,4,0.31,10.5,Matches
Squad Total,0,0,28.5,42.0,53,6,0,4,0,58.6,0.29,5.6,0.13,292,696,42.0,921,143,44.2,0.0,441,65.5,49.1,693,34,4.9,16,0.38,0.0,0
Opponent Total,0,0,27.6,42.0,32,1,3,5,0,36.4,0.25,4.4,0.1,178,527,33.8,1042,203,34.9,34.3,324,50.3,42.9,561,37,6.6,48,1.14,15.1,0
