Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Javier Castro,es ESP,DF,23-282,40,3203.0,80.0,84.7,35.6,36,86.0,31,4,26.0,1,1.1,26.0,47.0,-21.0,-0.59,-0.59,30.7,49.6,-18.9,-0.53,-0.58,Matches
Jacobo,es ESP,"MF,FW",27-088,36,2625.0,73.0,69.4,29.2,32,79.0,10,4,23.0,0,1.08,22.0,35.0,-13.0,-0.45,0.18,23.6,38.0,-14.4,-0.5,-0.17,Matches
Chiki,es ESP,"FW,MF",27-260,36,2611.0,73.0,69.1,29.0,32,78.0,6,4,32.0,2,1.0,22.0,35.0,-13.0,-0.45,0.17,22.0,36.8,-14.8,-0.51,-0.22,Matches
Víctor García,es ESP,"MF,DF",27-172,37,2764.0,75.0,73.1,30.7,31,84.0,21,6,27.0,1,1.0,22.0,38.0,-16.0,-0.52,-0.08,25.4,35.8,-10.4,-0.34,0.39,Matches
Iago López,es ESP,DF,25-076,34,2663.0,78.0,70.4,29.6,31,84.0,23,3,15.0,2,1.0,22.0,38.0,-16.0,-0.54,-0.14,26.1,37.8,-11.7,-0.4,0.16,Matches
Yan Brice Eteki,cm CMR,MF,26-300,32,2398.0,75.0,63.4,26.6,31,76.0,7,1,40.0,6,1.25,20.0,25.0,-5.0,-0.19,0.85,20.9,31.6,-10.6,-0.4,0.12,Matches
Jesús Ruiz,es ESP,GK,27-153,29,2610.0,90.0,69.0,29.0,29,90.0,29,0,0.0,13,0.97,25.0,41.0,-16.0,-0.55,-0.17,26.1,40.1,-14.0,-0.48,-0.13,Matches
Óscar Rivas,es ESP,"DF,MF",24-086,32,2265.0,71.0,59.9,25.2,24,87.0,21,8,21.0,8,1.31,21.0,27.0,-6.0,-0.24,0.65,21.6,32.1,-10.5,-0.42,0.07,Matches
Xavi Quintillà,es ESP,DF,27-303,22,1826.0,83.0,48.3,20.3,21,86.0,16,1,18.0,11,1.23,16.0,22.0,-6.0,-0.3,0.4,16.7,28.1,-11.5,-0.57,-0.24,Matches
Chema,es ESP,DF,32-110,24,1657.0,69.0,43.8,18.4,20,81.0,14,4,7.0,10,1.0,14.0,23.0,-9.0,-0.49,0.02,14.6,22.2,-7.6,-0.41,0.06,Matches
Emmanuel Addai,gh GHA,"FW,MF",22-325,35,2079.0,59.0,55.0,23.1,19,82.0,8,16,32.0,2,0.86,20.0,34.0,-14.0,-0.61,-0.24,21.7,29.0,-7.4,-0.32,0.28,Matches
Pedro Mosquera,es ESP,MF,36-061,31,1822.0,59.0,48.2,20.2,19,83.0,10,12,21.0,7,1.0,15.0,32.0,-17.0,-0.84,-0.66,17.4,29.1,-11.7,-0.58,-0.26,Matches
Javi Pérez,es ESP,MF,28-312,23,1708.0,74.0,45.2,19.0,19,85.0,15,4,24.0,1,1.26,11.0,14.0,-3.0,-0.16,0.62,13.0,19.8,-6.8,-0.36,0.15,Matches
Jean-Sylvain Babin,mq MTQ,DF,37-251,24,1699.0,71.0,44.9,18.9,18,88.0,16,6,21.0,15,1.17,16.0,33.0,-17.0,-0.9,-0.73,17.7,29.1,-11.4,-0.6,-0.29,Matches
Javi Lara,es ESP,"MF,FW",38-200,32,1448.0,45.0,38.3,16.1,18,69.0,0,14,15.0,10,0.84,12.0,17.0,-5.0,-0.31,0.31,13.2,19.2,-6.0,-0.37,0.11,Matches
David Morillas,es ESP,DF,37-267,21,1265.0,60.0,33.5,14.1,16,76.0,9,5,11.0,16,1.14,11.0,17.0,-6.0,-0.43,0.11,13.5,16.1,-2.6,-0.18,0.39,Matches
Lucas Anacker,br BRA,GK,27-273,13,1170.0,90.0,31.0,13.0,13,90.0,13,0,0.0,26,1.23,7.0,12.0,-5.0,-0.38,0.17,9.8,14.4,-4.6,-0.36,0.13,Matches
Dyego Sousa,pt POR,FW,34-281,23,994.0,43.0,26.3,11.0,9,74.0,1,14,24.0,4,0.79,13.0,21.0,-8.0,-0.72,-0.3,13.1,17.7,-4.6,-0.42,0.03,Matches
Juanma Bravo,es ESP,"MF,FW",26-132,24,937.0,39.0,24.8,10.4,9,71.0,2,15,20.0,9,1.42,8.0,11.0,-3.0,-0.29,0.28,8.8,13.3,-4.5,-0.43,0.02,Matches
Koldo Obieta,es ESP,FW,30-257,29,905.0,31.0,23.9,10.1,8,67.0,0,21,18.0,11,0.9,8.0,11.0,-3.0,-0.3,0.27,9.0,12.8,-3.8,-0.37,0.09,Matches
Juan Artola,es ESP,"FW,MF",24-075,29,815.0,28.0,21.6,9.1,8,70.0,0,21,12.0,13,1.24,6.0,12.0,-6.0,-0.66,-0.21,9.6,12.3,-2.7,-0.3,0.18,Matches
Fede Vico,es ESP,"MF,FW",29-353,16,692.0,43.0,18.3,7.7,8,69.0,0,8,18.0,1,1.0,5.0,11.0,-6.0,-0.78,-0.34,7.3,8.6,-1.3,-0.17,0.33,Matches
Marciano Tchami,gw GNB,"FW,MF",20-110,11,330.0,30.0,8.7,3.7,4,55.0,0,7,16.0,4,0.64,3.0,3.0,0.0,0.0,0.55,2.2,3.9,-1.7,-0.45,-0.01,Matches
Álex López,es ESP,"MF,FW",27-019,10,306.0,31.0,8.1,3.4,3,60.0,0,7,18.0,13,0.2,0.0,8.0,-8.0,-2.35,-2.02,2.3,5.6,-3.3,-0.97,-0.57,Matches
Álvaro Bustos,es ESP,"MF,FW",28-361,8,247.0,31.0,6.5,2.7,3,60.0,1,5,13.0,13,1.0,2.0,5.0,-3.0,-1.09,-0.63,2.9,4.8,-1.9,-0.7,-0.28,Matches
Eric Callís,es ESP,DF,22-159,2,119.0,60.0,3.1,1.3,1,90.0,1,1,29.0,21,0.67,1.0,2.0,-1.0,-0.76,-0.26,1.9,2.8,-0.9,-0.66,-0.23,Matches
Iker Bilbao,es ESP,"MF,FW",28-093,6,110.0,18.0,2.9,1.2,0,0.0,0,6,18.0,11,1.33,1.0,1.0,0.0,0.0,0.51,1.5,1.3,0.3,0.21,0.67,Matches
Jaime Garrido,es ESP,MF,21-063,2,32.0,16.0,0.8,0.4,0,0.0,0,2,16.0,8,0.5,0.0,1.0,-1.0,-2.81,-2.33,0.3,0.7,-0.5,-1.32,-0.88,Matches
Iñigo García,es ESP,MF,20-172,1,14.0,14.0,0.4,0.2,0,0.0,0,1,14.0,4,3.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.1,0.38,0.83,Matches
Israel García,es ESP,MF,20-144,1,11.0,11.0,0.3,0.1,0,0.0,0,1,11.0,3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,-0.3,-2.29,-1.85,Matches
Eric Gómez,es ESP,MF,20-118,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
