Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Javier Castro,es ESP,DF,23-282,35.6,1,15,2,13.3,0.42,0.06,0.07,0.5,10.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
Jacobo,es ESP,"MF,FW",27-088,29.2,5,87,21,24.1,2.98,0.72,0.06,0.24,23.3,15,0,0,5.0,5.0,0.06,0.0,0.0,Matches
Chiki,es ESP,"FW,MF",27-260,29.0,4,47,16,34.0,1.62,0.55,0.09,0.25,17.8,0,0,1,5.6,4.8,0.1,-1.6,-0.8,Matches
Víctor García,es ESP,"MF,DF",27-172,30.7,3,36,14,38.9,1.17,0.46,0.08,0.21,20.8,0,0,0,2.4,2.4,0.07,0.6,0.6,Matches
Iago López,es ESP,DF,25-076,29.6,0,7,1,14.3,0.24,0.03,0.0,0.0,19.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Yan Brice Eteki,cm CMR,MF,26-300,26.6,1,18,2,11.1,0.68,0.08,0.06,0.5,22.5,0,0,0,0.9,0.9,0.05,0.1,0.1,Matches
Jesús Ruiz,es ESP,GK,27-153,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Óscar Rivas,es ESP,"DF,MF",24-086,25.2,0,17,4,23.5,0.68,0.16,0.0,0.0,19.1,2,0,0,2.0,2.0,0.12,-2.0,-2.0,Matches
Xavi Quintillà,es ESP,DF,27-303,20.3,0,10,1,10.0,0.49,0.05,0.0,0.0,20.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Chema,es ESP,DF,32-110,18.4,1,3,1,33.3,0.16,0.05,0.33,1.0,13.3,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
Emmanuel Addai,gh GHA,"FW,MF",22-325,23.1,3,92,26,28.3,3.98,1.13,0.03,0.12,23.4,1,0,0,4.0,4.0,0.04,-1.0,-1.0,Matches
Pedro Mosquera,es ESP,MF,36-061,20.2,1,9,3,33.3,0.44,0.15,0.11,0.33,22.7,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Javi Pérez,es ESP,MF,28-312,19.0,2,20,9,45.0,1.05,0.47,0.1,0.22,18.2,0,0,0,2.0,2.0,0.1,0.0,0.0,Matches
Jean-Sylvain Babin,mq MTQ,DF,37-251,18.9,0,7,0,0.0,0.37,0.0,0.0,0.0,12.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Javi Lara,es ESP,"MF,FW",38-200,16.1,1,12,4,33.3,0.75,0.25,0.08,0.25,20.9,1,0,0,0.7,0.7,0.06,0.3,0.3,Matches
David Morillas,es ESP,DF,37-267,14.1,0,3,0,0.0,0.21,0.0,0.0,0.0,29.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Lucas Anacker,br BRA,GK,27-273,13.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Dyego Sousa,pt POR,FW,34-281,11.0,7,35,12,34.3,3.17,1.09,0.17,0.5,14.5,0,1,1,4.9,4.1,0.12,2.1,1.9,Matches
Juanma Bravo,es ESP,"MF,FW",26-132,10.4,1,22,11,50.0,2.11,1.06,0.05,0.09,22.8,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Koldo Obieta,es ESP,FW,30-257,10.1,1,14,5,35.7,1.39,0.5,0.07,0.2,15.7,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
Juan Artola,es ESP,"FW,MF",24-075,9.1,0,17,3,17.6,1.88,0.33,0.0,0.0,14.9,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
Fede Vico,es ESP,"MF,FW",29-353,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,24.5,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
Marciano Tchami,gw GNB,"FW,MF",20-110,3.7,0,8,1,12.5,2.18,0.27,0.0,0.0,20.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Álex López,es ESP,"MF,FW",27-019,3.4,0,6,2,33.3,1.76,0.59,0.0,0.0,25.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Álvaro Bustos,es ESP,"MF,FW",28-361,2.7,0,7,1,14.3,2.55,0.36,0.0,0.0,17.8,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
Eric Callís,es ESP,DF,22-159,1.3,0,2,0,0.0,1.51,0.0,0.0,0.0,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Iker Bilbao,es ESP,"MF,FW",28-093,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
