Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Simone Scuffet,it ITA,GK,27.0,31,31,2789,31.0,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0.0,Matches
Boris Radunović,rs SRB,GK,27.0,7,7,630,7.0,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,0.0,Matches
Simone Aresti,it ITA,GK,37.0,1,0,1,0.0,1,90.0,1,0,100.0,0,0,0,0,0.0,1,1,0,0,0.0,Matches
Squad Total,0,0,26.1,38,38,3420,38.0,68,1.79,157,92,59.2,8,12,18,5,13.2,5,4,0,1,0.0,0
Opponent Total,0,0,26.5,38,38,3420,38.0,42,1.11,132,90,71.2,18,12,8,11,28.9,6,4,1,1,20.0,0
