Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Unai Simón,es ESP,GK,26.0,36,36,3182,35.4,33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75.0,Matches
Julen Agirrezabala,es ESP,GK,22.0,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,0.0,Matches
Squad Total,0,0,27.3,38,38,3420,38.0,37,0.97,134,98,73.1,19,11,8,18,47.4,5,1,3,1,75.0,0
Opponent Total,0,0,26.9,38,38,3420,38.0,61,1.61,167,107,65.3,8,11,19,9,23.7,5,3,1,1,25.0,0
