Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Juan Soriano,es ESP,GK,26-303,39.2,1325,1037,1312,13,0,0,1325,2,1,50.0,0,0.0,621,3552,2231,0,0,0,3,0,471,0,Matches
Roberto López,es ESP,"FW,MF",24-058,31.7,1740,19,166,933,656,53,1740,27,13,48.1,14,51.9,851,3306,1237,21,33,9,48,27,1139,145,Matches
Álex Corredera,es ESP,MF,28-094,36.2,2039,57,357,1234,462,33,2039,29,17,58.6,9,31.0,1131,5496,2427,44,42,5,39,22,1393,82,Matches
Jérémy Mellot,fr FRA,DF,30-085,31.9,2084,134,722,967,420,21,2084,46,34,73.9,8,17.4,959,4945,2708,57,40,8,27,13,1117,131,Matches
Enric Gallego,es ESP,FW,37-283,26.7,931,43,86,392,459,135,927,29,15,51.7,13,44.8,418,1502,559,23,10,11,98,21,673,112,Matches
Jose Amo,es ESP,DF,26-073,27.6,1590,165,743,815,39,19,1590,3,2,66.7,0,0.0,878,4267,2458,12,8,0,11,2,1036,3,Matches
Sergio González,es ESP,"MF,DF",27-038,26.7,1535,94,547,864,130,36,1535,16,6,37.5,8,50.0,769,3969,2376,29,16,0,26,11,913,20,Matches
José León Bernal,es ESP,DF,29-139,24.2,1264,142,636,602,31,10,1264,3,0,0.0,3,100.0,645,3493,2013,9,8,1,3,2,762,2,Matches
Luismi,es ESP,"MF,FW",23-029,22.2,835,12,120,329,406,58,835,89,35,39.3,49,55.1,552,3822,1666,52,42,30,25,38,610,96,Matches
Aitor Sanz,es ESP,MF,39-282,18.4,1083,67,285,712,94,5,1083,19,11,57.9,6,31.6,514,2293,1226,9,19,1,16,10,624,13,Matches
Fernando Medrano,es ESP,DF,24-087,17.1,994,53,308,456,241,22,994,19,14,73.7,4,21.1,448,2028,1110,26,24,3,27,5,530,65,Matches
Ángel Rodríguez,es ESP,FW,37-056,20.5,593,27,62,266,274,87,591,32,18,56.3,13,40.6,298,1546,521,22,10,13,54,20,411,92,Matches
