Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Dylan,es ESP,FW,18-041,2,33.0,17.0,0.9,0.4,0,0.0,0,2,17.0,0,2.0,1.0,1.0,0.0,0.0,0.07,0.8,0.3,0.6,1.59,1.55,Matches
Etyan,es ESP,"FW,MF",22-015,4,29.0,7.0,0.8,0.3,0,0.0,0,4,7.0,4,1.5,2.0,0.0,2.0,6.21,6.33,1.0,0.4,0.7,1.95,1.91,Matches
Cacho Guzmán,es ESP,MF,21-326,1,25.0,25.0,0.7,0.3,0,0.0,0,1,25.0,2,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.1,0.1,0.41,0.36,Matches
Daniel Fernández,es ESP,FW,16-147,1,20.0,20.0,0.5,0.2,0,0.0,0,1,20.0,0,3.0,1.0,0.0,1.0,4.5,4.6,0.8,0.2,0.6,2.85,2.81,Matches
Javier Alonso,es ESP,MF,25-325,1,18.0,18.0,0.5,0.2,0,0.0,0,1,18.0,10,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.1,0.1,0.57,0.52,Matches
Salifo Caropitche,gw GNB,"MF,FW",23-002,2,15.0,8.0,0.4,0.2,0,0.0,0,2,8.0,4,0.5,1.0,0.0,1.0,6.0,6.1,0.8,0.1,0.7,4.35,4.31,Matches
Pablo Hernández,0,MF,0,2,12.0,6.0,0.3,0.1,0,0.0,0,2,6.0,18,1.5,0.0,1.0,-1.0,-7.5,-7.45,0.1,0.3,-0.2,-1.41,-1.47,Matches
César Álvarez,es ESP,DF,21-067,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian,es ESP,GK,19-354,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martín Cascajo,es ESP,GK,23-346,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dawda Dambelleh,0,MF,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Isaac,es ESP,DF,23-158,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aarón Martin,0,MF,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Moha,es ESP,GK,24-069,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Otero,es ESP,DF,23-075,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Padilla,es ESP,GK,19-256,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.8,42,3780.0,90.0,100.0,42.0,462,80.0,251,206,21.0,257,1.33,38.0,41.0,-3.0,-0.07,0.0,45.4,43.0,2.4,0.06,0.0,0
Opponent Total,0,0,27.6,42,3780.0,90.0,100.0,42.0,462,80.0,265,195,21.0,246,1.4,41.0,38.0,3.0,0.07,0.0,43.0,45.4,-2.4,-0.06,0.0,0
