Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Yvon Mvogo,ch SUI,GK,29.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Laurent Abergel,fr FRA,MF,30.0,33,32,2860.0,31.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,2.2,3.3,38.0,194.0,51.0,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,Matches
Julien Ponceau,fr FRA,MF,22.0,32,27,2244.0,24.9,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,3.3,3.3,2.7,6.0,106.0,154.0,152.0,0.12,0.08,0.2,0.12,0.2,0.13,0.11,0.24,0.13,0.24,Matches
Montassar Talbi,tn TUN,DF,25.0,25,25,2204.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.8,15.0,88.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Souleymane Touré,fr FRA,DF,20.0,24,23,2051.0,22.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.7,1.7,0.4,2.2,24.0,73.0,25.0,0.04,0.04,0.09,0.04,0.09,0.08,0.02,0.1,0.08,0.1,Matches
Julien Laporte,fr FRA,DF,29.0,23,20,1818.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.0,0.8,5.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Romain Faivre,fr FRA,"MF,FW",25.0,17,16,1453.0,16.1,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,2.8,2.8,1.7,4.5,68.0,102.0,78.0,0.31,0.06,0.37,0.31,0.37,0.17,0.1,0.28,0.17,0.28,Matches
Théo Le Bris,fr FRA,"DF,MF",20.0,26,15,1516.0,16.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,1.6,2.8,56.0,58.0,117.0,0.0,0.12,0.12,0.0,0.12,0.07,0.1,0.17,0.07,0.17,Matches
Tiemoué Bakayoko,fr FRA,MF,28.0,20,15,1314.0,14.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,0.5,2.2,14.0,54.0,15.0,0.14,0.07,0.21,0.14,0.21,0.12,0.03,0.15,0.12,0.15,Matches
Nathaniel Adjei,gh GHA,DF,20.0,15,14,1243.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,10.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
Mohamed Bamba,ci CIV,FW,21.0,16,14,1138.0,12.6,8.0,3.0,11.0,7.0,1.0,1.0,3.0,0.0,6.4,5.6,2.1,7.7,25.0,16.0,69.0,0.63,0.24,0.87,0.55,0.79,0.51,0.16,0.67,0.44,0.61,Matches
Formose Mendy,sn SEN,DF,22.0,18,13,1256.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.1,0.4,14.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches
Panos Katseris,gr GRE,DF,22.0,15,13,1041.0,11.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.1,2.1,0.8,2.9,24.0,21.0,86.0,0.09,0.09,0.17,0.09,0.17,0.18,0.07,0.25,0.18,0.25,Matches
Ayman Kari,fr FRA,MF,18.0,14,12,893.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.5,22.0,37.0,53.0,0.1,0.1,0.2,0.1,0.2,0.06,0.08,0.15,0.06,0.15,Matches
Darlin Yongwa,cm CMR,DF,22.0,22,11,1159.0,12.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.4,2.1,39.0,43.0,81.0,0.08,0.08,0.16,0.08,0.16,0.06,0.1,0.16,0.06,0.16,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",17.0,30,11,1084.0,12.0,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,3.5,3.5,1.8,5.3,10.0,12.0,63.0,0.42,0.25,0.66,0.42,0.66,0.29,0.15,0.44,0.29,0.44,Matches
Gedeon Kalulu,cd COD,DF,25.0,19,11,970.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.4,17.0,35.0,60.0,0.0,0.09,0.09,0.0,0.09,0.03,0.1,0.13,0.03,0.13,Matches
Tosin Aiyegun,bj BEN,"MF,FW",25.0,19,10,902.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.8,1.8,0.3,2.1,17.0,16.0,52.0,0.2,0.0,0.2,0.2,0.2,0.18,0.03,0.21,0.18,0.21,Matches
Imran Louza,ma MAR,MF,24.0,14,10,863.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,2.5,3.6,19.0,83.0,36.0,0.1,0.31,0.42,0.1,0.42,0.11,0.27,0.37,0.11,0.37,Matches
Vincent Le Goff,fr FRA,"DF,MF",33.0,9,8,541.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,9.0,22.0,51.0,0.17,0.17,0.33,0.17,0.33,0.02,0.15,0.17,0.02,0.17,Matches
Benjamin Mendy,fr FRA,DF,29.0,15,7,711.0,7.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.9,3.0,26.0,34.0,85.0,0.25,0.13,0.38,0.25,0.38,0.14,0.24,0.38,0.14,0.38,Matches
Bamba Dieng,sn SEN,FW,23.0,16,5,549.0,6.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.2,3.2,1.6,4.8,5.0,4.0,44.0,0.66,0.16,0.82,0.66,0.82,0.53,0.27,0.79,0.53,0.79,Matches
Jean-Victor Makengo,fr FRA,"MF,FW",25.0,11,5,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,11.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Siriné Doucouré,ml MLI,FW,21.0,11,5,423.0,4.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.3,2.2,14.0,5.0,35.0,0.21,0.64,0.85,0.21,0.85,0.2,0.28,0.47,0.2,0.47,Matches
Badredine Bouanani,dz ALG,MF,18.0,11,4,443.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.9,2.3,30.0,32.0,27.0,0.2,0.0,0.2,0.2,0.2,0.28,0.18,0.46,0.28,0.46,Matches
Bonke Innocent,ng NGA,MF,27.0,4,3,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches
Pablo Pagis,fr FRA,MF,20.0,3,3,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Igor Carioca,br BRA,"DF,MF",26.0,5,2,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,6.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,Matches
Joel Mvuka,no NOR,"DF,FW",20.0,7,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Bamo Meïté,ci CIV,DF,21.0,2,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Loris Mouyokolo,fr FRA,DF,22.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aurélien Pelon,fr FRA,DF,19.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bassirou Ndiaye,sn SEN,FW,21.0,5,0,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
