Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Álvaro Fernández,es ESP,GK,26-069,41.0,33.0,4.0,0.0,3.0,2.0,37.7,0.26,6.7,0.16,225,791,28.4,1127,171,52.0,42.2,319,64.3,50.0,673,48.0,7.1,37.0,0.9,13.3,Matches
Juan Pérez,es ESP,GK,27-342,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.0,0.0,6,17,35.3,27,3,48.1,41.4,9,44.4,39.1,15,0.0,0.0,0.0,0.0,10.5,Matches
Squad Total,0,0,27.8,42.0,33.0,4.0,0.0,3.0,2.0,37.9,0.25,6.9,0.16,231,808,28.6,1106,174,54.2,0.0,376,55.6,44.7,688,48.0,7.0,37.0,0.88,0.0,0
Opponent Total,0,0,27.7,42.0,36.0,2.0,2.0,11.0,2.0,34.5,0.27,0.5,0.01,140,470,29.8,964,170,32.6,33.5,298,52.3,43.0,582,50.0,8.6,46.0,1.1,13.7,0
