Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Filip Jørgensen,dk DEN,GK,21.0,36.0,1303,975,325,80,0,2,0,0,0,0,0,0,1052,3,1,Matches
Alex Baena,es ESP,"MF,FW",22.0,28.7,1255,1087,153,38,28,15,175,15,95,44,37,1,893,15,32,Matches
Alexander Sørloth,no NOR,FW,27.0,27.7,476,448,22,0,2,0,7,1,0,0,0,0,357,6,15,Matches
Daniel Parejo,es ESP,MF,34.0,28.7,1847,1668,166,114,5,13,57,2,48,24,14,1,1624,13,22,Matches
Gerard Moreno,es ESP,FW,31.0,24.6,1001,934,62,5,10,10,27,6,0,0,0,0,779,5,49,Matches
Raúl Albiol,es ESP,DF,37.0,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Matches
Jorge Cuenca,es ESP,DF,23.0,21.8,1150,1035,111,36,0,16,13,41,0,0,0,0,957,4,9,Matches
Santi Comesaña,es ESP,MF,26.0,18.4,868,842,24,23,2,7,5,1,0,0,0,0,752,2,8,Matches
Ilias Akhomach,ma MAR,"MF,FW",19.0,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Matches
Alberto Moreno,es ESP,DF,31.0,16.5,733,628,100,13,0,11,49,85,2,1,1,0,586,5,14,Matches
Kiko Femenía,es ESP,DF,32.0,17.6,1121,939,179,26,0,4,28,153,0,0,0,0,939,3,19,Matches
Étienne Capoue,fr FRA,MF,35.0,16.2,813,790,20,13,3,14,7,5,0,0,0,0,699,3,10,Matches
Yerson Mosquera,co COL,DF,22.0,13.7,734,659,74,30,1,4,7,28,0,0,0,0,628,1,13,Matches
Alfonso Pedraza,es ESP,DF,27.0,12.4,598,482,113,13,2,7,58,100,0,0,0,0,459,3,25,Matches
Aïssa Mandi,dz ALG,DF,31.0,12.4,734,688,45,24,2,3,0,4,0,0,0,0,671,1,4,Matches
Juan Foyth,ar ARG,DF,25.0,11.8,690,579,109,15,1,5,18,94,0,0,0,0,565,2,16,Matches
Francis Coquelin,fr FRA,MF,32.0,10.1,431,421,10,10,1,7,2,0,0,0,0,0,379,0,4,Matches
Adrià Altimira,es ESP,"DF,MF",22.0,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Matches
Gonçalo Guedes,pt POR,"FW,MF",26.0,10.6,333,306,23,2,0,3,27,1,8,1,1,0,255,4,11,Matches
Eric Bailly,ci CIV,DF,29.0,9.3,385,359,24,12,0,1,0,0,0,0,0,0,337,2,2,Matches
José Luis Morales,es ESP,"FW,MF",36.0,11.6,214,204,7,0,1,2,10,0,0,0,0,0,154,3,9,Matches
Yeremi Pino,es ESP,"MF,FW",20.0,5.3,171,164,5,1,2,0,7,4,0,0,0,0,137,2,1,Matches
Ramón Terrats,es ESP,"MF,DF",22.0,8.7,462,428,31,6,1,1,28,20,5,1,1,0,375,3,19,Matches
Bertrand Traoré,bf BFA,MF,27.0,6.3,213,204,8,1,2,2,9,2,5,1,0,0,167,1,3,Matches
Matteo Gabbia,it ITA,DF,23.0,5.3,299,283,15,9,0,5,0,0,0,0,0,0,267,1,0,Matches
Manu Trigueros,es ESP,MF,31.0,3.4,168,156,10,3,1,0,5,1,5,0,2,0,141,2,3,Matches
Ben Brereton,cl CHI,"FW,MF",24.0,3.0,74,73,1,0,1,0,4,1,0,0,0,0,55,0,4,Matches
Carlos Romero,es ESP,DF,21.0,2.9,164,130,33,0,0,1,11,33,0,0,0,0,113,1,9,Matches
Pepe Reina,es ESP,GK,40.0,2.0,69,55,14,3,0,0,0,0,0,0,0,0,57,0,0,Matches
Denis Suárez,es ESP,"MF,FW",29.0,1.5,94,82,12,9,0,1,4,1,2,2,0,0,79,0,1,Matches
Stefan Lekovic,rs SRB,DF,19.0,0.3,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Pascu,es ESP,FW,20.0,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,0,0,27.9,38.0,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,0
Opponent Total,0,0,27.1,38.0,19145,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305,0
