Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Bart Verbruggen,nl NED,GK,20.0,21.0,28,3,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8,Matches
Jason Steele,eng ENG,GK,32.0,17.0,34,3,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4.0,41,2.41,20.6,Matches
Squad Total,0,0,25.9,38.0,62,6,1,8,2,51.1,0.28,-8.9,-0.23,102,274,37.2,1278,186,20.3,0.0,254,5.9,12.0,405,24,5.9,72,1.89,0.0,0
Opponent Total,0,0,26.3,38.0,55,5,0,6,5,62.8,0.28,12.8,0.34,174,626,27.8,1280,157,36.7,34.4,286,54.5,41.1,515,31,6.0,32,0.84,13.6,0
