Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Josué Dorrio,es ESP,"MF,FW",30-110,42,3375.0,80.0,89.3,37.5,39,84.0,16,3,28.0,0,1.07,34.0,44.0,-10.0,-0.27,1.07,32.8,47.5,-14.6,-0.39,0.52,Matches
Kwasi Sibo,gh GHA,MF,25-363,39,3137.0,80.0,83.0,34.9,36,85.0,27,3,27.0,1,1.15,32.0,43.0,-11.0,-0.32,0.38,31.4,43.2,-11.8,-0.34,0.63,Matches
Núñez,es ESP,"DF,MF",23-350,39,3153.0,81.0,83.4,35.0,35,87.0,29,4,23.0,2,1.05,28.0,42.0,-14.0,-0.4,-0.11,29.8,46.5,-16.7,-0.48,-0.18,Matches
Felix Garreta,es ESP,DF,20-061,31,2488.0,80.0,65.8,27.6,29,85.0,22,2,9.0,4,1.0,26.0,32.0,-6.0,-0.22,0.48,23.3,34.6,-11.3,-0.41,0.11,Matches
Pablo Cuñat,es ESP,GK,22-054,26,2340.0,90.0,61.9,26.0,26,90.0,26,0,0.0,11,0.81,19.0,29.0,-10.0,-0.38,-0.01,21.9,32.0,-10.1,-0.39,0.15,Matches
Xabier Etxeita,es ESP,DF,36-234,26,2280.0,88.0,60.3,25.3,26,88.0,24,0,0.0,5,1.27,26.0,28.0,-2.0,-0.08,0.76,21.0,31.7,-10.7,-0.42,0.06,Matches
Eneko Jauregi,es ESP,FW,27-344,37,2265.0,61.0,59.9,25.2,25,80.0,10,12,22.0,2,1.11,23.0,41.0,-18.0,-0.72,-0.83,24.2,35.8,-11.6,-0.46,-0.03,Matches
Daniel Lasure,es ESP,"DF,MF",30-115,29,2181.0,75.0,57.7,24.2,25,85.0,18,4,14.0,3,1.1,23.0,31.0,-8.0,-0.33,0.12,23.4,30.9,-7.5,-0.31,0.32,Matches
Jon Morcillo,es ESP,"MF,FW",25-280,37,2103.0,57.0,55.6,23.4,25,74.0,4,12,21.0,2,0.97,23.0,25.0,-2.0,-0.09,0.67,20.4,28.6,-8.2,-0.35,0.21,Matches
Àlex Carbonell,es ESP,MF,26-280,31,1963.0,63.0,51.9,21.8,22,82.0,9,9,19.0,6,1.06,22.0,26.0,-4.0,-0.18,0.41,18.5,29.5,-11.0,-0.5,-0.12,Matches
