Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Etienne Vaessen,sr SUR,GK,28.0,30,30,2644,29.4,49,1.67,173,125,74.0,6,8,16,5,16.7,5,4,1,0,20.0,Matches
Jeroen Houwen,nl NED,GK,27.0,4,3,322,3.6,5,1.4,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0,Matches
Mark Spenkelink,nl NED,GK,26.0,1,1,90,1.0,2,2.0,12,10,83.3,0,0,1,0,0.0,1,0,0,1,0.0,Matches
Squad Total,0,0,26.2,34,34,3056,34.0,56,1.65,204,149,75.0,7,8,19,5,14.7,7,5,1,1,16.7,0
Opponent Total,0,0,25.1,34,34,3060,34.0,38,1.12,145,108,77.2,19,8,7,11,32.4,5,5,0,0,0.0,0
