Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Luís Maximiano,pt POR,GK,24.0,33.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,19,2,Matches
Édgar González,es ESP,"DF,MF",26.0,28.0,45,21,22,20,3,25,49,51.0,24,48,28,20,38,83,130,3,Matches
Adri Embarba,es ESP,"FW,MF",31.0,27.5,55,37,29,15,11,26,53,49.1,27,37,1,36,15,70,12,0,Matches
Lucas Robertone,ar ARG,MF,26.0,26.5,61,33,28,23,10,25,50,50.0,25,43,9,34,51,112,43,0,Matches
Juan Brandáriz,es ESP,DF,24.0,27.0,34,22,22,12,0,16,26,61.5,10,38,23,15,14,48,107,3,Matches
Dion Lopy,sn SEN,MF,21.0,21.3,62,37,36,20,6,17,44,38.6,27,23,5,18,15,77,22,2,Matches
Sergio Arribas,es ESP,"MF,FW",21.0,22.7,34,17,16,17,1,14,31,45.2,17,20,1,19,16,50,8,1,Matches
Pubill,es ESP,DF,20.0,20.9,47,23,35,8,4,22,39,56.4,17,20,8,12,15,62,83,1,Matches
Léo Baptistão,br BRA,FW,30.0,20.4,25,16,12,8,5,9,25,36.0,16,13,1,12,11,36,22,0,Matches
César Montes,mx MEX,DF,26.0,19.9,22,13,13,9,0,9,18,50.0,9,21,9,12,11,33,94,0,Matches
Sergio Akieme,es ESP,DF,25.0,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,Matches
Largie Ramazani,be BEL,"FW,MF",22.0,17.3,12,7,5,6,1,6,26,23.1,20,16,2,14,34,46,10,0,Matches
Iddrisu Baba,gh GHA,MF,27.0,15.9,46,26,27,18,1,17,39,43.6,22,20,6,14,11,57,27,2,Matches
Jonathan Viera,es ESP,MF,33.0,10.1,19,9,6,9,4,10,19,52.6,9,4,0,4,4,23,1,0,Matches
Álex Centelles,es ESP,DF,25.0,10.9,11,6,9,2,0,8,18,44.4,10,5,2,3,18,29,29,0,Matches
Gonzalo Melero,es ESP,"MF,FW",29.0,12.3,14,8,7,5,2,7,19,36.8,12,12,4,8,4,18,11,0,Matches
Luis Javier Suárez,co COL,FW,25.0,10.2,7,5,2,5,0,2,6,33.3,4,11,0,11,0,7,13,0,Matches
Anthony Lozano,hn HON,FW,30.0,8.6,7,5,2,5,0,4,7,57.1,3,6,1,5,2,9,12,0,Matches
Alejandro Pozo Pozo,es ESP,"DF,MF",24.0,10.8,19,12,11,6,2,12,20,60.0,8,14,4,10,7,26,21,0,Matches
Bruno Langa,mz MOZ,DF,25.0,9.1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,Matches
Aleksandar Radovanović,rs SRB,DF,29.0,6.3,8,7,7,1,0,6,6,100.0,0,8,8,0,11,19,48,0,Matches
Kaiky,br BRA,DF,19.0,5.8,7,4,6,0,1,3,6,50.0,3,9,7,2,3,10,29,1,Matches
Luka Romero,ar ARG,FW,18.0,4.9,5,1,2,3,0,2,4,50.0,2,12,1,11,1,6,2,1,Matches
Marcos Peña,es ESP,MF,18.0,4.9,19,14,12,7,0,6,12,50.0,6,9,3,6,13,32,8,0,Matches
Houboulang Mendes,gw GNB,DF,25.0,4.4,16,13,11,5,0,8,16,50.0,8,4,2,2,1,17,17,1,Matches
Fernando,es ESP,GK,33.0,4.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,0,Matches
Arnau Puigmal,es ESP,"FW,DF",22.0,2.8,2,1,1,1,0,1,3,33.3,2,3,0,3,3,5,2,0,Matches
Marko Milovanović,rs SRB,"FW,MF",19.0,3.4,4,4,1,3,0,2,4,50.0,2,2,0,2,0,4,5,0,Matches
Lázaro,br BRA,"FW,MF",21.0,3.2,4,1,2,0,2,2,8,25.0,6,4,0,4,1,5,1,0,Matches
Ibrahima Koné,ml MLI,FW,24.0,3.1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0,Matches
Srđan Babić,rs SRB,DF,27.0,1.0,2,2,0,2,0,1,1,100.0,0,1,1,0,0,2,2,0,Matches
Diego Mariño,es ESP,GK,33.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Marciano Tchami,gw GNB,"FW,MF",19.0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Paco Sanz,es ESP,DF,18.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
Rachad Fettal,ma MAR,FW,18.0,0.2,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Squad Total,0,0,25.6,38.0,633,372,354,222,57,280,582,48.1,302,430,134,296,313,946,856,19,0
Opponent Total,0,0,27.1,38.0,583,364,249,236,98,314,613,51.2,299,357,103,254,280,863,676,15,0
