Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Philipp Köhn,ch SUI,GK,25.0,22,22,1980,22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7,Matches
Radosław Majecki,pl POL,GK,23.0,12,12,1080,12.0,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,0.0,Matches
Squad Total,0,0,25.0,34,34,3060,34.0,42,1.24,151,110,75.5,20,7,7,12,35.3,6,5,1,0,16.7,0
Opponent Total,0,0,25.7,34,34,3060,34.0,68,2.0,207,138,68.1,7,7,20,5,14.7,5,2,3,0,60.0,0
