Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Moritz Nicolas,de GER,GK,25.0,27,27,2430,27.0,49,1.81,160,111,71.9,6,11,10,4,14.8,4,4,0,0,0.0,Matches
Jonas Omlin,ch SUI,GK,29.0,7,7,630,7.0,18,2.57,47,29,66.0,1,2,4,0,0.0,2,2,0,0,0.0,Matches
Squad Total,0,0,25.4,34,34,3060,34.0,67,1.97,207,140,70.5,7,13,14,4,11.8,6,6,0,0,0.0,0
Opponent Total,0,0,26.7,34,34,3060,34.0,56,1.65,150,94,66.0,14,13,7,8,23.5,6,5,1,0,16.7,0
