Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Alexander Nübel,de GER,GK,26.0,30.0,36,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,341,30,8.8,57,1.9,17.3,Matches
Fabian Bredlow,de GER,GK,28.0,4.0,3,0,0,1,0,5.0,0.23,2.0,0.49,22,61,36.1,168,15,31.5,31.0,11,72.7,51.7,55,1,1.8,5,1.25,16.6,Matches
Squad Total,0,0,25.0,34.0,39,3,0,6,3,35.8,0.26,-0.2,-0.01,148,352,42.0,1180,147,26.1,0.0,214,20.6,23.4,396,31,7.8,62,1.82,0.0,0
Opponent Total,0,0,26.6,34.0,78,5,0,5,0,75.5,0.32,-2.5,-0.07,180,454,39.6,1111,133,32.8,33.4,266,33.8,31.5,407,21,5.2,36,1.06,15.3,0
