Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Antonio Sivera,es ESP,GK,26.0,34,34,3060,34.0,38,1.12,123,87,75.6,11,8,15,10,29.4,8,8,0,0,0.0,Matches
Jesús Owono,gq EQG,GK,22.0,4,4,360,4.0,8,2.0,24,16,66.7,1,2,1,1,25.0,0,0,0,0,0.0,Matches
Squad Total,0,0,25.6,38,38,3420,38.0,46,1.21,147,103,74.1,12,10,16,11,28.9,8,8,0,0,0.0,0
Opponent Total,0,0,27.2,38,38,3417,38.0,36,0.95,142,106,76.8,16,10,12,15,39.5,7,3,3,1,50.0,0
