Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Andrés Fernández,es ESP,GK,37-187,33.0,29,3,0,6,1,33.5,0.25,5.5,0.17,133,298,44.6,705,173,28.2,31.4,268,36.9,35.8,540,17,3.1,15,0.45,11.3,Matches
Joan Femenías,es ESP,GK,27-307,9.0,16,3,0,0,0,15.3,0.31,-0.7,-0.08,30,59,50.8,180,46,20.6,28.2,75,29.3,32.4,132,4,3.0,12,1.33,17.7,Matches
Squad Total,0,0,26.9,42.0,45,6,0,6,1,48.8,0.27,4.8,0.11,163,357,45.7,872,219,27.1,0.0,356,34.0,34.2,672,21,3.1,27,0.64,0.0,0
Opponent Total,0,0,27.8,42.0,49,2,3,7,0,51.0,0.29,2.0,0.05,256,612,41.8,1005,160,43.7,37.7,323,53.6,41.8,579,41,7.1,43,1.02,13.9,0
