Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Vicente Guaita,es ESP,GK,36.0,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3,Matches
Iván Villar,es ESP,GK,26.0,11.3,18,2,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2,Matches
Squad Total,0,0,26.7,38.0,57,6,0,7,3,56.0,0.31,2.0,0.05,176,494,35.6,811,182,38.3,0.0,312,58.7,45.4,556,28,5.0,36,0.95,0.0,0
Opponent Total,0,0,27.1,38.0,46,3,0,3,1,50.4,0.3,5.4,0.14,202,559,36.1,958,141,41.0,36.4,299,55.5,42.8,504,29,5.8,59,1.55,15.9,0
