Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Arthur Desmas,fr FRA,GK,29.0,33,33,2970,33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0,Matches
Mathieu Gorgelin,fr FRA,GK,32.0,1,1,90,1.0,2,2.0,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Squad Total,0,0,26.2,34,34,3060,34.0,45,1.32,158,114,72.8,7,11,16,7,20.6,4,2,1,1,33.3,0
Opponent Total,0,0,26.0,34,34,3058,34.0,34,1.0,120,86,76.7,16,11,7,16,47.1,7,6,1,0,14.3,0
