Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Arthur Desmas,fr FRA,GK,29.0,33.0,611,945,64.7,17763,13674,112,112,100.0,258,261,98.9,230,555,41.4,0,0.4,0.1,-0.4,1,15,1,0,0,Matches
Gautier Lloris,fr FRA,DF,28.0,30.9,1194,1398,85.4,21169,7934,461,517,89.2,623,676,92.2,80,161,49.7,0,0.2,0.4,-0.2,3,80,3,0,105,Matches
Arouna Sangante,sn SEN,DF,21.0,29.9,1233,1521,81.1,24085,9176,453,525,86.3,586,667,87.9,166,270,61.5,0,1.2,0.9,-1.2,17,93,9,2,107,Matches
Christopher Operi,ci CIV,DF,26.0,27.2,1147,1570,73.1,19725,7747,558,658,84.8,443,572,77.4,115,265,43.4,4,4.0,4.8,0.0,46,70,26,16,82,Matches
Abdoulaye Touré,gn GUI,MF,29.0,25.4,1031,1238,83.3,18110,5195,413,483,85.5,475,546,87.0,92,122,75.4,0,0.9,0.9,-0.9,12,119,7,0,148,Matches
Josué Casimir,fr FRA,"FW,DF",21.0,22.4,572,781,73.2,8814,2672,287,363,79.1,224,290,77.2,33,75,44.0,5,4.3,3.0,0.7,31,34,19,5,62,Matches
Daler Kuzyaev,ru RUS,MF,30.0,23.2,824,1050,78.5,12347,3407,422,511,82.6,305,360,84.7,42,77,54.5,2,1.3,1.3,0.7,29,87,21,1,119,Matches
Etienne Youte Kinkoue,fr FRA,DF,21.0,21.6,833,962,86.6,16457,5709,257,277,92.8,465,489,95.1,94,175,53.7,0,0.1,0.2,-0.1,3,41,0,0,31,Matches
Yassine Kechta,ma MAR,MF,21.0,20.5,778,960,81.0,13063,3630,347,393,88.3,333,387,86.0,63,116,54.3,1,2.2,1.4,-1.2,27,87,11,0,122,Matches
Emmanuel Sabbi,us USA,"FW,MF",25.0,17.6,258,368,70.1,3538,1097,147,190,77.4,82,112,73.2,10,20,50.0,1,1.4,1.1,-0.4,10,21,9,3,36,Matches
