Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Matteo Pessina,it ITA,MF,26.0,37,3222.0,87.0,94.2,35.8,37,87.0,30,0,0.0,0,1.22,36.0,44.0,-8.0,-0.22,1.59,37.3,51.0,-13.7,-0.38,1.01,Matches
Andrea Colpani,it ITA,"MF,FW",24.0,38,2657.0,70.0,77.7,29.5,36,72.0,6,2,33.0,0,1.18,28.0,40.0,-12.0,-0.41,-0.41,29.4,43.5,-14.1,-0.48,-0.16,Matches
Michele Di Gregorio,it ITA,GK,26.0,33,2872.0,87.0,84.0,31.9,33,87.0,31,0,0.0,1,1.33,31.0,35.0,-4.0,-0.13,1.19,31.4,44.7,-13.3,-0.42,0.15,Matches
Pablo Marí,es ESP,DF,29.0,34,2615.0,77.0,76.5,29.1,30,84.0,24,4,21.0,0,1.18,29.0,39.0,-10.0,-0.34,-0.12,29.5,43.0,-13.5,-0.47,-0.1,Matches
Roberto Gagliardini,it ITA,"MF,DF",29.0,33,2360.0,72.0,69.0,26.2,29,79.0,18,4,21.0,2,1.12,28.0,37.0,-9.0,-0.34,-0.09,30.8,39.4,-8.6,-0.33,0.37,Matches
Dany Mota,pt POR,"FW,MF",25.0,34,2049.0,60.0,59.9,22.8,24,72.0,6,10,33.0,1,1.18,22.0,35.0,-13.0,-0.57,-0.64,23.0,36.0,-12.9,-0.57,-0.32,Matches
Luca Caldirola,it ITA,DF,32.0,29,2141.0,74.0,62.6,23.8,23,87.0,19,6,22.0,7,1.1,25.0,37.0,-12.0,-0.5,-0.5,24.8,37.5,-12.6,-0.53,-0.24,Matches
Samuele Birindelli,it ITA,DF,24.0,35,2013.0,58.0,58.9,22.4,22,76.0,8,13,25.0,2,1.2,25.0,33.0,-8.0,-0.36,-0.1,24.0,34.4,-10.4,-0.46,-0.05,Matches
Giorgos Kyriakopoulos,gr GRE,DF,27.0,28,1712.0,61.0,50.1,19.0,20,76.0,8,8,24.0,10,0.96,18.0,25.0,-7.0,-0.37,-0.1,17.7,27.7,-10.0,-0.53,-0.17,Matches
Armando Izzo,it ITA,DF,31.0,23,1650.0,72.0,48.2,18.3,20,81.0,13,3,8.0,4,1.13,17.0,25.0,-8.0,-0.44,-0.23,18.4,25.0,-6.6,-0.36,0.16,Matches
