Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
James Trafford,eng ENG,GK,20.0,28,28,2520,28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0,Matches
Arijanet Muric,xk KVX,GK,24.0,10,10,900,10.0,16,1.6,78,62,80.8,2,4,4,0,0.0,2,1,1,0,50.0,Matches
Squad Total,0,0,24.5,38,38,3420,38.0,78,2.05,244,168,70.5,5,9,24,2,5.3,7,6,1,0,14.3,0
Opponent Total,0,0,26.3,38,38,3420,38.0,41,1.08,140,100,72.9,24,9,5,12,31.6,3,3,0,0,0.0,0
