Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Sander Berge,no NOR,MF,25.0,33.4,1376,1562,88.1,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,2,2.4,1.6,-0.4,29,129,16,1,164,Matches
Dara O'Shea,ie IRL,DF,24.0,32.1,1393,1759,79.2,27584,10235,459,551,83.3,752,854,88.1,168,304,55.3,4,2.0,1.0,2.0,13,139,6,3,122,Matches
James Trafford,eng ENG,GK,20.0,28.0,1009,1541,65.5,23601,16311,318,323,98.5,451,464,97.2,235,735,32.0,0,0.0,0.1,0.0,0,24,1,0,6,Matches
Zeki Amdouni,ch SUI,FW,22.0,21.7,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,-0.4,16,28,9,0,49,Matches
Vitinho,br BRA,"DF,MF",24.0,25.7,715,994,71.9,11588,3536,373,445,83.8,282,398,70.9,45,84,53.6,2,1.3,1.2,0.7,11,56,19,4,66,Matches
Charlie Taylor,eng ENG,DF,29.0,25.9,995,1312,75.8,16535,5292,520,590,88.1,380,488,77.9,76,169,45.0,1,1.2,1.7,-0.2,15,69,19,14,82,Matches
Wilson Odobert,fr FRA,"MF,FW",18.0,23.3,446,584,76.4,6236,1559,285,330,86.4,134,173,77.5,16,31,51.6,2,3.3,3.6,-1.3,31,34,19,5,58,Matches
Josh Brownhill,eng ENG,MF,27.0,25.0,850,1106,76.9,13206,3449,451,532,84.8,311,393,79.1,55,114,48.2,2,2.1,2.1,-0.1,34,71,16,0,90,Matches
Josh Cullen,ie IRL,MF,27.0,22.9,1173,1373,85.4,18812,4917,617,667,92.5,466,521,89.4,69,127,54.3,3,1.8,2.3,1.2,26,119,17,3,123,Matches
Lyle Foster,za RSA,"FW,MF",22.0,21.1,312,461,67.7,4471,835,197,268,73.5,91,124,73.4,14,20,70.0,3,1.9,1.3,1.1,19,21,12,0,37,Matches
Jacob Bruun Larsen,dk DEN,"MF,FW",24.0,13.9,378,526,71.9,6208,1406,208,257,80.9,120,162,74.1,39,64,60.9,0,1.5,1.8,-1.5,25,12,13,2,38,Matches
Maxime Estève,fr FRA,DF,21.0,14.5,690,821,84.0,11622,2998,308,343,89.8,336,371,90.6,36,79,45.6,0,0.0,0.2,0.0,1,41,0,0,40,Matches
Lorenz Assignon,tg TOG,DF,23.0,13.7,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,-0.6,13,16,10,5,34,Matches
Jordan Beyer,de GER,DF,23.0,13.7,766,861,89.0,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,1,0.3,0.2,0.7,3,28,1,0,25,Matches
