Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Sander Berge,no NOR,MF,25.0,37,3005.0,81.0,87.9,33.4,34,86.0,28,3,26.0,0,0.62,36.0,69.0,-33.0,-0.99,-0.12,36.0,63.5,-27.4,-0.82,-0.33,Matches
Dara O'Shea,ie IRL,DF,24.0,33,2892.0,88.0,84.6,32.1,32,89.0,29,1,45.0,1,0.58,36.0,71.0,-35.0,-1.09,-0.75,34.8,62.7,-27.8,-0.87,-0.54,Matches
James Trafford,eng ENG,GK,20.0,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,0.0,8,0.5,27.0,62.0,-35.0,-1.25,-1.05,25.6,49.4,-23.8,-0.85,-0.26,Matches
Zeki Amdouni,ch SUI,FW,22.0,34,1953.0,57.0,57.1,21.7,27,69.0,2,7,14.0,4,0.62,20.0,41.0,-21.0,-0.97,0.01,19.5,36.2,-16.7,-0.77,0.03,Matches
Vitinho,br BRA,"DF,MF",24.0,32,2314.0,72.0,67.7,25.7,26,85.0,16,6,20.0,2,0.63,31.0,44.0,-13.0,-0.51,1.45,29.3,46.0,-16.7,-0.65,0.4,Matches
Charlie Taylor,eng ENG,DF,29.0,28,2331.0,83.0,68.2,25.9,25,88.0,22,3,40.0,2,0.75,31.0,46.0,-15.0,-0.58,1.24,26.7,44.4,-17.7,-0.68,0.31,Matches
Wilson Odobert,fr FRA,"MF,FW",18.0,29,2098.0,72.0,61.3,23.3,25,82.0,11,4,10.0,4,0.59,25.0,48.0,-23.0,-0.99,-0.03,25.4,46.7,-21.3,-0.91,-0.34,Matches
Josh Brownhill,eng ENG,MF,27.0,33,2252.0,68.0,65.8,25.0,23,87.0,18,10,26.0,4,0.67,27.0,53.0,-26.0,-1.04,-0.19,25.5,44.1,-18.5,-0.74,0.12,Matches
Josh Cullen,ie IRL,MF,27.0,25,2057.0,82.0,60.1,22.9,23,87.0,18,2,30.0,8,0.64,25.0,48.0,-23.0,-1.01,-0.08,25.8,45.6,-19.8,-0.87,-0.21,Matches
Lyle Foster,za RSA,"FW,MF",22.0,24,1899.0,79.0,55.5,21.1,22,84.0,10,2,24.0,0,0.79,22.0,43.0,-21.0,-1.0,-0.05,21.9,41.2,-19.3,-0.92,-0.3,Matches
