Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Lucas Arcanjo,br BRA,GK,25-317,9.0,15,0,0,4,0,12.4,0.3,-2.6,-0.29,29,104,27.9,166,25,43.4,35.1,66,48.5,42.2,149,5,3.4,5,0.56,12.3,Matches
Squad Total,0,0,27.8,9.0,15,0,0,4,0,12.4,0.3,-2.6,-0.29,29,104,27.9,166,25,43.4,0.0,66,48.5,42.2,149,5,3.4,5,0.56,0.0,0
Opponent Total,0,0,28.3,9.0,8,1,0,2,1,9.5,0.24,2.5,0.28,16,52,30.8,185,42,22.7,29.9,52,19.2,25.7,123,6,4.9,2,0.22,12.0,0
