Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Lucas Arcanjo,br BRA,GK,25-317,9.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,1,Matches
Matheusinho,br BRA,"MF,FW",26-246,7.6,13,8,7,3,3,6,12,50.0,6,2,0,2,10,23,2,0,Matches
Willian,br BRA,MF,31-035,7.6,9,6,2,6,1,4,11,36.4,7,10,2,8,6,15,14,0,Matches
Wagner,br BRA,DF,24-333,7.1,6,3,5,0,1,4,6,66.7,2,14,10,4,8,14,37,0,Matches
Alerrandro,br BRA,FW,24-160,5.8,4,2,1,3,0,1,7,14.3,6,6,2,4,4,8,10,0,Matches
Osvaldo,br BRA,"MF,FW",37-070,4.5,4,4,1,3,0,3,5,60.0,2,2,0,2,4,8,1,0,Matches
Lucas Esteves,br BRA,DF,23-362,6.8,10,8,9,1,0,4,8,50.0,4,9,3,6,5,15,20,0,Matches
Willean Lepo,br BRA,DF,27-156,4.8,23,16,17,3,3,14,20,70.0,6,9,1,8,10,33,11,0,Matches
Camutanga,br BRA,DF,30-267,5.0,8,5,7,0,1,5,9,55.6,4,7,6,1,2,10,19,0,Matches
Luan Silva,br BRA,MF,25-037,3.5,4,2,0,4,0,3,6,50.0,3,1,0,1,8,12,7,0,Matches
Zeca,br BRA,DF,30-035,4.3,10,5,5,3,2,3,8,37.5,5,4,3,1,3,13,8,0,Matches
Bruno Uvini,br BRA,DF,33-017,3.7,1,1,0,1,0,1,1,100.0,0,4,2,2,6,7,11,0,Matches
Dudu,br BRA,MF,25-015,3.3,12,6,6,6,0,2,9,22.2,7,7,0,7,2,14,1,0,Matches
Janderson,br BRA,"MF,FW",25-045,3.3,5,2,4,1,0,1,1,100.0,0,2,0,2,0,5,5,0,Matches
Rodrigo Andrade,br BRA,"MF,FW",27-016,2.6,3,3,1,1,1,2,2,100.0,0,5,2,3,0,3,1,0,Matches
Patric Calmon PK,br BRA,DF,29-351,2.3,3,1,2,1,0,1,2,50.0,1,4,1,3,8,11,5,0,Matches
Léo Naldi,br BRA,MF,22-307,2.6,14,9,6,7,1,5,7,71.4,2,2,0,2,2,16,4,1,Matches
Caio Vinícius,br BRA,MF,25-161,1.6,2,2,1,0,1,0,3,0.0,3,2,0,2,0,2,3,0,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",29-266,2.3,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,2,0,Matches
Reynaldo Cesar Moraes,br BRA,DF,27-169,2.2,2,2,1,1,0,0,1,0.0,1,5,3,2,0,2,11,0,Matches
Daniel Jr,br BRA,"FW,MF",22-042,0.8,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
Luiz Adriano,br BRA,FW,37-069,1.6,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,Matches
Iury de Castilho,br BRA,"FW,MF",28-288,1.3,1,0,1,0,0,0,0,0.0,0,1,0,1,0,1,1,0,Matches
Jean Mota,br BRA,MF,30-249,1.2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0,Matches
Erick Castillo,ec ECU,"MF,DF",29-136,1.2,1,0,1,0,0,1,1,100.0,0,3,0,3,0,1,1,0,Matches
José Hugo,br BRA,"MF,DF",24-247,1.2,4,4,0,3,1,2,3,66.7,1,0,0,0,1,5,1,0,Matches
Léo Gamalho,br BRA,FW,38-142,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.8,9.0,143,92,77,51,15,63,128,49.2,65,100,36,64,79,222,179,2,0
Opponent Total,0,0,28.3,9.0,190,129,71,92,27,72,146,49.3,74,94,24,70,69,259,147,3,0
