D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2024-03-10,20:45,Ligue 1,Matchweek 25,Sun,Home,W,2,0,Nantes,1.5,1.0,53.0,56958,Chancel Mbemba,4-3-3,François Letexier,Match Report,0
2024-03-14,18:45,Europa Lg,Round of 16,Thu,Away,L,1,3,es Villarreal,1.6,1.9,36.0,15378,Geoffrey Kondogbia,3-5-2,István Kovács,Match Report,Leg 2 of 2; Marseille won
2024-03-17,17:05,Ligue 1,Matchweek 26,Sun,Away,L,0,2,Rennes,0.7,1.4,57.0,28610,Geoffrey Kondogbia,4-2-3-1,Eric Wattellier,Match Report,0
2024-03-31,20:45,Ligue 1,Matchweek 27,Sun,Home,L,0,2,Paris S-G,1.4,2.1,47.0,66046,Geoffrey Kondogbia,4-3-3,Benoît Bastien,Match Report,0
2024-04-05,21:00,Ligue 1,Matchweek 28,Fri,Away,L,1,3,Lille,1.2,1.8,47.0,46864,Samuel Gigot,4-3-3,Bastien Dechepy,Match Report,0
2024-04-11,20:00,Europa Lg,Quarter-finals,Thu,Away,L,1,2,pt Benfica,0.9,1.0,43.0,53845,Samuel Gigot,3-4-3,Michael Oliver,Match Report,Leg 1 of 2
2024-04-18,21:00,Europa Lg,Quarter-finals,Thu,Home,W,1 (4),0 (2),pt Benfica,1.6,1.3,54.0,59645,Samuel Gigot,3-5-1-1,Felix Zwayer,Match Report,Leg 2 of 2; Marseille won; Marseille won on penalty kicks following extra time
2024-04-21,19:00,Ligue 1,Matchweek 30,Sun,Away,D,2,2,Toulouse,1.1,0.5,54.0,30119,Pau López,5-3-2,Clément Turpin,Match Report,0
2024-04-24,21:00,Ligue 1,Matchweek 29,Wed,Home,D,2,2,Nice,2.2,1.4,48.0,53000,Samuel Gigot,3-5-2,Jérémie Pignard,Match Report,0
2024-04-28,21:00,Ligue 1,Matchweek 31,Sun,Home,W,2,1,Lens,1.7,1.2,44.0,59490,Samuel Gigot,3-5-2,Eric Wattellier,Match Report,0
2024-05-02,21:00,Europa Lg,Semi-finals,Thu,Home,D,1,1,it Atalanta,0.9,0.8,49.0,64475,Geoffrey Kondogbia,5-3-2,Daniel Siebert,Match Report,Leg 1 of 2
2024-05-09,21:00,Europa Lg,Semi-finals,Thu,Away,L,0,3,it Atalanta,0.4,1.8,54.0,14994,Samuel Gigot,3-4-3,Jesús Gil,Match Report,Leg 2 of 2; Atalanta won
2024-05-12,21:00,Ligue 1,Matchweek 33,Sun,Home,W,3,1,Lorient,2.5,1.5,58.0,62082,Samuel Gigot,3-4-3,Bastien Dechepy,Match Report,0
2024-05-15,21:00,Ligue 1,Matchweek 32,Wed,Away,L,0,1,Reims,1.7,1.1,62.0,19020,Geoffrey Kondogbia,3-5-2,Hakim Ben El Hadj Salem,Match Report,0
2024-05-19,21:00,Ligue 1,Matchweek 34,Sun,Away,W,2,1,Le Havre,1.5,1.8,56.0,24050,Chancel Mbemba,4-4-2,Jeremy Stinat,Match Report,0
