Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Lucas Chevalier,fr FRA,GK,21.0,33,2969.0,90.0,97.0,33.0,33,90.0,32,0,0.0,0,1.76,50.0,32.0,18.0,0.55,0.55,47.4,35.4,12.0,0.36,0.21,Matches
Leny Yoro,fr FRA,DF,17.0,32,2673.0,84.0,87.4,29.7,30,89.0,29,2,8.0,2,1.72,47.0,31.0,16.0,0.54,0.07,41.9,32.8,9.1,0.31,-0.41,Matches
Jonathan David,ca CAN,FW,23.0,34,2629.0,77.0,85.9,29.2,30,86.0,14,4,14.0,0,1.74,48.0,31.0,17.0,0.58,0.37,45.1,29.8,15.4,0.53,1.19,Matches
Angel Gomes,eng ENG,MF,22.0,31,2571.0,83.0,84.0,28.6,29,86.0,14,2,41.0,0,1.61,44.0,27.0,17.0,0.6,0.41,39.9,29.7,10.2,0.36,0.01,Matches
Benjamin André,fr FRA,MF,32.0,30,2570.0,86.0,84.0,28.6,29,87.0,23,1,35.0,0,1.77,39.0,24.0,15.0,0.53,-0.03,39.4,25.3,14.1,0.49,0.85,Matches
Ismaily,br BRA,DF,33.0,30,2465.0,82.0,80.6,27.4,28,87.0,24,2,16.0,2,1.67,43.0,31.0,12.0,0.44,-0.47,38.2,27.8,10.5,0.38,0.13,Matches
Tiago santos,pt POR,DF,21.0,29,2365.0,82.0,77.3,26.3,26,90.0,25,3,12.0,4,1.76,41.0,27.0,14.0,0.53,0.01,40.5,29.0,11.5,0.44,0.35,Matches
Edon Zhegrova,xk KVX,FW,24.0,33,2288.0,69.0,74.8,25.4,25,82.0,6,8,31.0,1,1.76,39.0,20.0,19.0,0.75,0.86,34.9,24.9,10.0,0.39,0.14,Matches
Alexsandro Ribeiro,br BRA,DF,23.0,29,2220.0,77.0,72.5,24.7,24,89.0,22,5,16.0,3,1.93,38.0,19.0,19.0,0.77,0.88,36.4,27.5,8.8,0.36,0.0,Matches
Nabil Bentaleb,dz ALG,MF,28.0,26,1967.0,76.0,64.3,21.9,23,85.0,19,3,5.0,0,1.73,35.0,24.0,11.0,0.5,-0.07,31.2,26.4,4.8,0.22,-0.38,Matches
Bafodé Diakité,fr FRA,DF,22.0,21,1696.0,81.0,55.4,18.8,19,89.0,17,2,6.0,4,1.76,28.0,22.0,6.0,0.32,-0.47,23.8,20.9,2.9,0.15,-0.45,Matches
