Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Marc-André ter Stegen,de GER,GK,31.0,28,28,2520,28.0,27,0.96,102,75,75.5,20,5,3,15,53.6,2,2,0,0,0.0,Matches
Iñaki Peña,es ESP,GK,24.0,10,10,900,10.0,17,1.7,39,22,56.4,6,2,2,2,20.0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.0,38,38,3420,38.0,44,1.16,141,97,70.2,26,7,5,17,44.7,2,2,0,0,0.0,0
Opponent Total,0,0,26.9,38,38,3416,38.0,79,2.08,226,149,67.7,5,7,26,2,5.3,7,6,1,0,14.3,0
