Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Marcos Sánchez,es ESP,DF,20-239,5,46.0,9.0,1.2,0.5,0,0.0,0,5,9.0,32,0.2,0.0,2.0,-2.0,-3.91,-3.46,0.6,2.2,-1.6,-3.15,-2.94,Matches
Pau Cabanes,es ESP,FW,19-125,2,28.0,14.0,0.7,0.3,0,0.0,0,2,14.0,1,2.0,1.0,0.0,1.0,3.21,3.74,0.9,0.5,0.4,1.3,1.55,Matches
Fabio Blanco,es ESP,"MF,DF",20-124,2,21.0,11.0,0.6,0.2,0,0.0,0,2,11.0,18,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.3,1.47,1.72,Matches
Gerard Hernandez,es ESP,MF,19-082,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2,21.19,21.43,Matches
Alex Alcira,es ESP,DF,20-149,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Martel,es ESP,DF,19-150,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordi Ortega,es ESP,MF,21-119,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francisco Tafalla,es ESP,DF,20-060,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Facundo Viveros,ar ARG,MF,20-312,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,22.9,42,3780.0,90.0,100.0,42.0,462,83.0,263,196,17.0,232,1.02,41.0,62.0,-21.0,-0.5,0.0,49.7,59.8,-10.1,-0.24,0.0,0
Opponent Total,0,0,27.9,42,3780.0,90.0,100.0,42.0,462,83.0,265,195,20.0,255,1.74,62.0,41.0,21.0,0.5,0.0,59.8,49.7,10.1,0.24,0.0,0
