Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Jan Oblak,si SVN,GK,30.0,38,38,3420,38.0,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0,Matches
Squad Total,0,0,29.2,38,38,3420,38.0,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0,0
Opponent Total,0,0,26.9,38,38,3417,38.0,70,1.84,203,134,68.0,10,4,24,8,21.1,6,5,1,0,16.7,0
