Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Marco Carnesecchi,it ITA,GK,23.0,27,27,2425,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3,Matches
Juan Musso,ar ARG,GK,29.0,11,11,990,11.0,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0.0,Matches
Francesco Rossi,it ITA,GK,32.0,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.3,38,38,3420,38.0,42,1.11,142,99,74.6,21,6,11,15,39.5,9,6,2,1,25.0,0
Opponent Total,0,0,26.4,38,38,3420,38.0,72,1.89,202,130,66.8,11,6,21,4,10.5,5,5,0,0,0.0,0
