Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Predrag Rajković,rs SRB,GK,27.0,36,36,3240,36.0,43,1.19,138,95,71.7,7,15,14,9,25.0,5,4,1,0,20.0,Matches
Iván Cuéllar,es ESP,GK,39.0,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,0.0,Matches
Dominik Greif,sk SVK,GK,26.0,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,0.0,Matches
Squad Total,0,0,28.7,38,38,3420,38.0,44,1.16,148,104,73.0,8,16,14,10,26.3,5,4,1,0,20.0,0
Opponent Total,0,0,27.0,38,38,3420,38.0,33,0.87,132,99,75.8,14,16,8,15,39.5,3,1,0,2,0.0,0
