Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Walter,br BRA,GK,36-215,10.0,15,2,1,2,0,15.3,0.28,0.3,0.03,45,104,43.3,201,40,34.3,33.3,81,43.2,37.4,170,6,3.5,7,0.7,13.3,Matches
Squad Total,0,0,28.0,10.0,15,2,1,2,0,15.3,0.28,0.3,0.03,45,104,43.3,201,40,34.3,0.0,81,43.2,37.4,170,6,3.5,7,0.7,0.0,0
Opponent Total,0,0,28.4,10.0,12,2,0,1,0,11.9,0.28,-0.1,-0.01,38,83,45.8,215,35,27.4,30.7,66,36.4,34.3,129,5,3.9,6,0.6,13.9,0
