Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Elia Caprile,it ITA,GK,21.0,23,23,2070,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0,Matches
Etrit Berisha,al ALB,GK,34.0,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,Matches
Samuele Perisan,it ITA,GK,25.0,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.0,38,38,3420,38.0,54,1.42,185,130,74.1,9,9,20,9,23.7,8,6,2,0,25.0,0
Opponent Total,0,0,26.4,38,38,3420,38.0,29,0.76,117,91,79.5,20,9,9,21,55.3,5,5,0,0,0.0,0
