Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches,League,Team,Playing Time MP
Jorrel Hato,nl NED,DF,17.0,33.0,33,2961.0,32.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1.3,2.3,39.0,156.0,32.0,0.03,0.06,0.09,0.03,0.09,0.03,0.04,0.07,0.03,0.07,Matches,Eredivise,Ajax,
Kenneth Taylor,nl NED,"MF,DF",21.0,34.0,31,2758.0,30.6,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,5.4,5.4,4.9,10.3,78.0,185.0,157.0,0.16,0.16,0.33,0.16,0.33,0.18,0.16,0.33,0.18,0.33,Matches,Eredivise,Ajax,
Brian Brobbey,nl NED,FW,21.0,30.0,29,2405.0,26.7,18.0,8.0,26.0,18.0,0.0,1.0,4.0,0.0,19.8,19.0,6.3,25.3,53.0,30.0,211.0,0.67,0.3,0.97,0.67,0.97,0.74,0.24,0.98,0.71,0.95,Matches,Eredivise,Ajax,
Devyne Rensch,nl NED,DF,20.0,28.0,26,2212.0,24.6,2.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,1.2,1.2,2.5,3.7,39.0,120.0,66.0,0.08,0.16,0.24,0.08,0.24,0.05,0.1,0.15,0.05,0.15,Matches,Eredivise,Ajax,
Steven Bergwijn,nl NED,"FW,MF",25.0,24.0,23,1944.0,21.6,12.0,4.0,16.0,7.0,5.0,5.0,5.0,1.0,10.0,6.1,6.4,12.5,75.0,109.0,171.0,0.56,0.19,0.74,0.32,0.51,0.46,0.3,0.76,0.28,0.58,Matches,Eredivise,Ajax,
Josip Šutalo,hr CRO,DF,23.0,23.0,22,1980.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.2,1.5,14.0,67.0,4.0,0.05,0.0,0.05,0.05,0.05,0.06,0.01,0.07,0.06,0.07,Matches,Eredivise,Ajax,
Kristian Nökkvi Hlynsson,is ISL,"MF,FW",19.0,25.0,22,1765.0,19.6,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,5.4,5.4,2.8,8.2,44.0,70.0,123.0,0.36,0.05,0.41,0.36,0.41,0.28,0.14,0.42,0.28,0.42,Matches,Eredivise,Ajax,
Diant Ramaj,de GER,GK,21.0,22.0,20,1824.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Benjamin Tahirovic,ba BIH,MF,20.0,26.0,18,1667.0,18.5,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,1.7,2.8,16.0,99.0,20.0,0.11,0.22,0.32,0.11,0.32,0.06,0.09,0.15,0.06,0.15,Matches,Eredivise,Ajax,
Steven Berghuis,nl NED,"FW,MF",31.0,20.0,16,1443.0,16.0,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,3.8,3.8,6.8,10.6,55.0,140.0,176.0,0.31,0.5,0.81,0.31,0.81,0.24,0.42,0.66,0.24,0.66,Matches,Eredivise,Ajax,
Anton Gaaei,dk DEN,DF,20.0,25.0,12,1164.0,12.9,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,4.6,5.0,36.0,57.0,106.0,0.08,0.15,0.23,0.08,0.23,0.03,0.36,0.39,0.03,0.39,Matches,Eredivise,Ajax,
Sivert Mannsverk,no NOR,"MF,DF",21.0,13.0,12,886.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.3,0.7,14.0,56.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,Eredivise,Ajax,
Branco van den Boomen,nl NED,MF,28.0,21.0,11,1072.0,11.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,2.2,3.1,29.0,135.0,24.0,0.17,0.08,0.25,0.17,0.25,0.08,0.18,0.26,0.08,0.26,Matches,Eredivise,Ajax,
Ahmetcan Kaplan,tr TUR,DF,20.0,11.0,10,944.0,10.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,0.2,0.6,8.0,48.0,3.0,0.0,0.1,0.1,0.0,0.1,0.04,0.02,0.06,0.04,0.06,Matches,Eredivise,Ajax,
Borna Sosa,hr CRO,DF,25.0,16.0,10,848.0,9.4,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.4,1.6,23.0,49.0,53.0,0.0,0.42,0.42,0.0,0.42,0.02,0.15,0.17,0.02,0.17,Matches,Eredivise,Ajax,
Jordan Henderson,eng ENG,MF,33.0,9.0,9,750.0,8.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.9,2.1,11.0,70.0,20.0,0.0,0.36,0.36,0.0,0.36,0.02,0.23,0.25,0.02,0.25,Matches,Eredivise,Ajax,
Chuba Akpom,eng ENG,"FW,MF",27.0,25.0,8,1049.0,11.7,11.0,3.0,14.0,11.0,0.0,0.0,0.0,0.0,9.0,9.0,1.9,10.9,23.0,38.0,74.0,0.94,0.26,1.2,0.94,1.2,0.77,0.16,0.93,0.77,0.93,Matches,Eredivise,Ajax,
Carlos Forbs,pt POR,FW,19.0,21.0,8,829.0,9.2,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,4.3,50.0,33.0,120.0,0.22,0.33,0.54,0.22,0.54,0.23,0.23,0.46,0.23,0.46,Matches,Eredivise,Ajax,
Ar'jany Martha,nl NED,"DF,FW",19.0,9.0,8,699.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.4,1.5,29.0,37.0,51.0,0.0,0.13,0.13,0.0,0.13,0.01,0.19,0.19,0.01,0.19,Matches,Eredivise,Ajax,
Jay Gorter,nl NED,GK,23.0,8.0,7,665.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Mika Godts,be BEL,"FW,MF",18.0,13.0,7,574.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,35.0,22.0,64.0,0.0,0.31,0.31,0.0,0.31,0.07,0.11,0.18,0.07,0.18,Matches,Eredivise,Ajax,
Gerónimo Rulli,ar ARG,GK,31.0,7.0,7,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Tristan Gooijer,nl NED,"DF,MF",18.0,9.0,7,570.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,24.0,27.0,38.0,0.0,0.16,0.16,0.0,0.16,0.03,0.05,0.08,0.03,0.08,Matches,Eredivise,Ajax,
Gastón Ávila,ar ARG,DF,21.0,5.0,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,6.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches,Eredivise,Ajax,
Silvano Vos,nl NED,MF,18.0,11.0,3,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.2,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches,Eredivise,Ajax,
Jakov Medić,hr CRO,DF,24.0,6.0,3,336.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,21.0,0.0,0.27,0.0,0.27,0.27,0.27,0.03,0.0,0.03,0.03,0.03,Matches,Eredivise,Ajax,
Georges Mikautadze,ge GEO,"MF,FW",22.0,6.0,2,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.19,0.15,0.19,Matches,Eredivise,Ajax,
Anass Salah-Eddine,nl NED,DF,21.0,6.0,2,192.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,6.0,17.0,23.0,0.0,0.47,0.47,0.0,0.47,0.03,0.25,0.27,0.03,0.27,Matches,Eredivise,Ajax,
Mohammed Kudus,gh GHA,"FW,MF",22.0,2.0,2,180.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.6,11.0,5.0,27.0,0.5,0.5,1.0,0.5,1.0,0.57,0.24,0.81,0.57,0.81,Matches,Eredivise,Ajax,
Jaydon Amauri Banel,nl NED,"FW,MF",18.0,5.0,1,93.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.7,3.0,1.0,5.0,0.0,0.97,0.97,0.0,0.97,0.44,0.21,0.64,0.44,0.64,Matches,Eredivise,Ajax,
Amourrichio Van Axel Dongen,nl NED,FW,18.0,3.0,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Eredivise,Ajax,
Julian Rijkhoff,nl NED,"FW,MF",18.0,8.0,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,Eredivise,Ajax,
Davy Klaassen,nl NED,MF,30.0,2.0,0,61.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.0,2.0,3.0,1.48,0.0,1.48,1.48,1.48,0.79,0.05,0.85,0.79,0.85,Matches,Eredivise,Ajax,
Owen Wijndal,nl NED,DF,23.0,2.0,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.82,0.0,0.82,Matches,Eredivise,Ajax,
Kian Fitz-Jim,nl NED,"MF,FW",20.0,2.0,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.13,0.93,1.05,0.13,1.05,Matches,Eredivise,Ajax,
Olivier Aertssen,nl NED,DF,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Julian Christiaan Brandes,nl NED,MF,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Jorge Eduardo Sánchez,mx MEX,DF,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Tom de Graaff,nl NED,GK,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
David Kalokoh,nl NED,FW,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Gabriel Osei Misehouy,nl NED,FW,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Remko Pasveer,nl NED,GK,39.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Christian Rasmussen,dk DEN,FW,20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Charlie Setford,eng ENG,GK,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Ajax,
Thomas Robinet,fr FRA,"FW,MF",26.0,33.0,33,2853.0,31.7,11.0,3.0,14.0,8.0,3.0,3.0,4.0,1.0,11.5,9.1,2.7,11.8,21.0,79.0,157.0,0.35,0.09,0.44,0.25,0.35,0.36,0.09,0.45,0.29,0.37,Matches,Eredivise,Almere City,
Peer Koopmeiners,nl NED,MF,23.0,31.0,31,2771.0,30.8,0.0,9.0,9.0,0.0,0.0,0.0,7.0,1.0,0.6,0.6,5.7,6.4,18.0,144.0,38.0,0.0,0.29,0.29,0.0,0.29,0.02,0.19,0.21,0.02,0.21,Matches,Eredivise,Almere City,
Damian van Bruggen,nl NED,DF,27.0,31.0,30,2500.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,0.6,1.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Eredivise,Almere City,
Nordin Bakker,nl NED,GK,25.0,29.0,29,2596.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Almere City,
Stije Resink,nl NED,MF,20.0,32.0,28,2578.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,2.1,2.1,1.2,3.3,32.0,152.0,37.0,0.03,0.03,0.07,0.03,0.07,0.07,0.04,0.12,0.07,0.12,Matches,Eredivise,Almere City,
Sherel Floranus,cw CUW,DF,24.0,29.0,28,2520.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,1.5,1.7,19.0,76.0,52.0,0.0,0.04,0.04,0.0,0.04,0.0,0.05,0.06,0.0,0.06,Matches,Eredivise,Almere City,
Jochem van de Kamp,nl NED,"DF,MF",19.0,30.0,24,1898.0,21.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.9,1.9,2.0,3.9,18.0,80.0,76.0,0.09,0.05,0.14,0.09,0.14,0.09,0.1,0.19,0.09,0.19,Matches,Eredivise,Almere City,
Joey Jacobs,nl NED,DF,23.0,27.0,23,1963.0,21.8,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.9,1.9,0.5,2.4,13.0,102.0,9.0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches,Eredivise,Almere City,
Rajiv van La Parra,nl NED,"FW,MF",32.0,32.0,20,1799.0,20.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,4.1,4.1,1.1,5.2,55.0,36.0,171.0,0.1,0.05,0.15,0.1,0.15,0.21,0.05,0.26,0.21,0.26,Matches,Eredivise,Almere City,
Théo Barbet,fr FRA,DF,22.0,29.0,19,1818.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.3,1.9,14.0,58.0,3.0,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.1,0.03,0.1,Matches,Eredivise,Almere City,
Yoann Cathline,fr FRA,"DF,FW",21.0,28.0,19,1718.0,19.1,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,2.8,2.8,1.6,4.5,72.0,42.0,141.0,0.21,0.1,0.31,0.21,0.31,0.15,0.09,0.23,0.15,0.23,Matches,Eredivise,Almere City,
Kornelius Hansen,no NOR,FW,22.0,26.0,17,1385.0,15.4,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,1.8,5.8,47.0,41.0,131.0,0.26,0.06,0.32,0.26,0.32,0.26,0.12,0.38,0.26,0.38,Matches,Eredivise,Almere City,
Hamdi Akujobi,nl NED,"DF,FW",23.0,23.0,16,1557.0,17.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.5,29.0,50.0,64.0,0.0,0.12,0.12,0.0,0.12,0.06,0.08,0.14,0.06,0.14,Matches,Eredivise,Almere City,
Álvaro Peña,es ESP,MF,31.0,23.0,15,1127.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.9,2.0,13.0,64.0,47.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.16,0.08,0.16,Matches,Eredivise,Almere City,
Loïc Mbe Soh,fr FRA,DF,22.0,20.0,13,1258.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.5,5.0,48.0,2.0,0.07,0.07,0.14,0.07,0.14,0.02,0.02,0.04,0.02,0.04,Matches,Eredivise,Almere City,
Manu Royo,es ESP,DF,29.0,12.0,8,665.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,21.0,28.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.15,0.01,0.15,Matches,Eredivise,Almere City,
Yann Kitala,0,FW,25.0,15.0,5,481.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.2,1.3,9.0,6.0,34.0,0.37,0.0,0.37,0.37,0.37,0.2,0.05,0.24,0.2,0.24,Matches,Eredivise,Almere City,
Samuel Şahin-Radlinger,at AUT,GK,30.0,6.0,5,464.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Eredivise,Almere City,
Lance Duijvestijn,nl NED,"MF,FW",24.0,14.0,3,450.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,2.1,8.0,27.0,38.0,0.0,0.4,0.4,0.0,0.4,0.11,0.31,0.42,0.11,0.42,Matches,Eredivise,Almere City,
Anthony Limbombe,be BEL,FW,29.0,3.0,3,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.1,8.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.49,0.57,0.07,0.57,Matches,Eredivise,Almere City,
Adi Nalic,ba BIH,"FW,MF",25.0,7.0,2,213.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,6.0,8.0,16.0,0.42,0.0,0.42,0.42,0.42,0.21,0.05,0.26,0.21,0.26,Matches,Eredivise,Almere City,
Jason Van Duiven,nl NED,"FW,MF",18.0,13.0,1,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,Matches,Eredivise,Almere City,
Milan Corryn,be BEL,"MF,FW",24.0,7.0,1,160.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,2.0,5.0,5.0,0.0,0.56,0.56,0.0,0.56,0.08,0.16,0.25,0.08,0.25,Matches,Eredivise,Almere City,
José Pascual Alba Seva,es ESP,FW,23.0,3.0,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches,Eredivise,Almere City,
