Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,FW",24-162,36.1,1086,1485,73.1,18383,5040,536,613,87.4,369,483,76.4,124,254,48.8,1,5.5,6.9,-4.5,68,100,67,36,161,Matches
Pedro Bigas,es ESP,DF,33-280,34.8,2346,2653,88.4,49799,18617,618,659,93.8,1383,1463,94.5,325,478,68.0,1,0.9,1.0,0.1,12,102,5,1,115,Matches
Tete Morente,es ESP,"MF,DF",27-200,36.0,1053,1466,71.8,16285,4444,576,691,83.4,362,471,76.9,75,169,44.4,2,3.8,3.6,-1.8,56,51,67,26,144,Matches
Carlos Clerc,es ESP,DF,32-121,33.5,1872,2328,80.4,34530,12074,751,828,90.7,913,1068,85.5,186,362,51.4,2,1.8,2.0,0.2,25,197,18,8,221,Matches
Mario Gaspar,es ESP,"DF,MF",33-210,30.0,1189,1442,82.5,21736,6845,433,482,89.8,641,714,89.8,93,180,51.7,0,1.2,1.2,-1.2,12,61,11,4,86,Matches
Nicolás Castro,ar ARG,MF,23-233,28.6,1416,1709,82.9,25605,5872,615,672,91.5,582,649,89.7,171,287,59.6,5,4.4,4.1,0.6,53,169,35,8,176,Matches
Aleix Febas,es ESP,MF,28-140,28.0,1166,1356,86.0,17317,4268,599,670,89.4,443,493,89.9,58,82,70.7,2,2.6,1.5,-0.6,26,103,17,5,142,Matches
Mourad El Ghezouani,ma MAR,FW,26-025,24.8,303,421,72.0,3553,465,208,269,77.3,62,85,72.9,6,10,60.0,1,1.6,0.8,-0.6,17,9,6,1,17,Matches
Josan,es ESP,DF,34-201,24.0,1260,1551,81.2,22927,6978,540,599,90.2,569,656,86.7,128,229,55.9,2,4.4,3.7,-2.4,42,112,37,26,134,Matches
Matías Dituro,ar ARG,GK,37-044,21.0,734,918,80.0,20835,14682,112,113,99.1,344,350,98.3,278,454,61.2,0,0.0,0.3,0.0,0,26,3,0,1,Matches
