Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Churripi,es ESP,GK,30-049,41,3690.0,90.0,97.6,41.0,41,90.0,41,0,0.0,0,1.41,51.0,53.0,-2.0,-0.05,-0.05,49.3,45.5,3.8,0.09,0.05,Matches
Aitor Córdoba,es ESP,DF,29-031,41,3614.0,88.0,95.6,40.2,41,88.0,38,0,0.0,0,1.44,50.0,50.0,0.0,0.0,1.08,48.5,44.9,3.5,0.09,-0.09,Matches
Curro,es ESP,"FW,MF",28-170,41,3540.0,86.0,93.7,39.3,40,88.0,32,1,23.0,0,1.44,51.0,51.0,0.0,0.0,0.75,48.9,42.6,6.3,0.16,1.07,Matches
Jose Matos,es ESP,DF,29-046,38,3144.0,83.0,83.2,34.9,36,86.0,30,2,27.0,1,1.34,39.0,46.0,-7.0,-0.2,-0.91,40.7,38.2,2.5,0.07,-0.12,Matches
Unai Elgezabal,es ESP,"DF,MF",31-057,35,2767.0,79.0,73.2,30.7,32,84.0,24,3,29.0,1,1.4,36.0,43.0,-7.0,-0.23,-0.67,38.3,35.8,2.5,0.08,-0.04,Matches
Fernando Niño,es ESP,FW,23-241,37,2638.0,71.0,69.8,29.3,32,78.0,9,5,29.0,0,1.49,37.0,33.0,4.0,0.14,0.61,35.3,32.2,3.1,0.11,0.05,Matches
Miguel Atienza,es ESP,MF,25-025,37,2550.0,69.0,67.5,28.3,31,77.0,8,6,28.0,2,1.43,33.0,29.0,4.0,0.14,0.58,32.2,27.5,4.6,0.16,0.22,Matches
Dani Ojeda,es ESP,"MF,FW",29-201,38,2071.0,55.0,54.8,23.0,26,69.0,2,12,23.0,0,1.44,27.0,28.0,-1.0,-0.04,0.01,29.3,23.0,6.3,0.27,0.4,Matches
Alejandro Sancris,es ESP,"MF,FW",27-155,40,2144.0,54.0,56.7,23.8,25,75.0,3,15,18.0,1,1.38,26.0,27.0,-1.0,-0.04,0.01,27.7,26.4,1.3,0.05,-0.09,Matches
Mumo,es ESP,MF,29-069,35,1685.0,48.0,44.6,18.7,21,67.0,2,14,20.0,6,1.29,25.0,30.0,-5.0,-0.27,-0.4,22.6,24.1,-1.4,-0.08,-0.3,Matches
Grego Sierra,es ESP,DF,31-108,32,1972.0,62.0,52.2,21.9,19,86.0,15,13,25.0,4,1.53,30.0,30.0,0.0,0.0,0.1,26.3,24.8,1.5,0.07,-0.05,Matches
Borja González,es ESP,DF,28-217,30,1683.0,56.0,44.5,18.7,18,84.0,10,12,15.0,11,1.23,20.0,24.0,-4.0,-0.21,-0.3,26.0,21.4,4.6,0.25,0.28,Matches
Kévin Appin,mq MTQ,"MF,FW",26-153,31,1450.0,47.0,38.4,16.1,16,70.0,3,15,22.0,3,1.65,20.0,20.0,0.0,0.0,0.08,14.8,18.2,-3.4,-0.21,-0.49,Matches
Anderson Arroyo,co COL,DF,24-268,16,1340.0,84.0,35.4,14.9,15,88.0,12,1,19.0,2,1.25,17.0,18.0,-1.0,-0.07,-0.03,18.1,18.3,-0.2,-0.01,-0.16,Matches
Eduardo Espiau,es ESP,FW,29-185,37,1511.0,41.0,40.0,16.8,13,81.0,8,24,19.0,1,1.35,16.0,26.0,-10.0,-0.6,-0.91,23.1,20.5,2.5,0.15,0.1,Matches
Ander Martin,es ESP,"MF,DF",23-218,36,1417.0,39.0,37.5,15.7,13,75.0,4,23,19.0,4,1.44,24.0,24.0,0.0,0.0,0.08,19.9,19.3,0.5,0.03,-0.09,Matches
Raúl Navarro,es ESP,DF,30-135,13,1108.0,85.0,29.3,12.3,13,85.0,8,0,0.0,3,1.62,21.0,15.0,6.0,0.49,0.76,12.8,11.2,1.6,0.13,0.06,Matches
Joni Montiel,es ESP,MF,25-292,17,958.0,56.0,25.3,10.6,11,78.0,2,6,17.0,0,1.35,11.0,16.0,-5.0,-0.47,-0.57,13.6,15.7,-2.1,-0.2,-0.39,Matches
Álex Bermejo,es ESP,"MF,FW",25-193,38,1257.0,33.0,33.3,14.0,9,66.0,0,29,23.0,0,1.42,21.0,17.0,4.0,0.29,0.5,17.5,16.0,1.5,0.11,0.02,Matches
Esteban Saveljich,me MNE,DF,33-032,8,564.0,71.0,14.9,6.3,7,80.0,4,1,2.0,2,1.5,10.0,9.0,1.0,0.16,0.24,8.4,7.9,0.6,0.09,0.0,Matches
Andy,es ESP,"MF,DF",34-143,14,178.0,13.0,4.7,2.0,1,45.0,0,13,10.0,7,1.36,3.0,2.0,1.0,0.51,0.58,2.3,1.7,0.6,0.31,0.23,Matches
Loic Badiashile,fr FRA,GK,26-137,1,90.0,90.0,2.4,1.0,1,90.0,1,0,0.0,40,1.0,1.0,1.0,0.0,0.0,0.05,1.8,1.8,0.0,0.04,-0.05,Matches
David Goldar,es ESP,DF,29-280,1,90.0,90.0,2.4,1.0,1,90.0,1,0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.05,2.2,0.2,2.0,1.98,1.94,Matches
Javi López,es ESP,MF,23-047,4,57.0,14.0,1.5,0.6,0,0.0,0,4,14.0,19,0.75,0.0,1.0,-1.0,-1.58,-1.55,0.4,1.4,-1.0,-1.53,-1.65,Matches
Lucas Ricoy,es ESP,"DF,MF",21-155,4,27.0,7.0,0.7,0.3,0,0.0,0,4,7.0,10,0.25,1.0,1.0,0.0,0.0,0.05,1.4,0.4,1.0,3.5,3.43,Matches
Saúl del Cerro,es ESP,"MF,FW",20-032,2,15.0,8.0,0.4,0.2,0,0.0,0,2,8.0,11,1.5,0.0,1.0,-1.0,-6.0,-5.98,0.0,0.2,-0.2,-1.15,-1.25,Matches
José Menor,0,FW,0,1,9.0,9.0,0.2,0.1,0,0.0,0,1,9.0,0,0.0,0.0,1.0,-1.0,-10.0,-9.98,0.0,0.2,-0.2,-1.54,-1.63,Matches
