Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Gabriel,br BRA,GK,31-267,9,810.0,90.0,100.0,9.0,9,90.0,9,0,0.0,0,1.44,11.0,11.0,0.0,0.0,0.0,10.2,11.3,-1.1,-0.12,0.0,Matches
Lucas Barbosa,br BRA,"FW,MF",23-119,9,695.0,77.0,85.8,7.7,9,77.0,0,0,0.0,0,1.44,9.0,10.0,-1.0,-0.13,-0.91,8.4,9.2,-0.8,-0.11,0.08,Matches
Danilo Boza,br BRA,DF,26-045,8,720.0,90.0,88.9,8.0,8,90.0,8,0,0.0,0,1.5,10.0,10.0,0.0,0.0,0.0,9.6,10.6,-0.9,-0.12,0.02,Matches
João Lucas,br BRA,DF,26-103,8,719.0,90.0,88.8,8.0,8,90.0,7,0,0.0,0,1.5,10.0,10.0,0.0,0.0,0.0,9.5,10.2,-0.7,-0.08,0.33,Matches
Caíque de Jesus Gonçalves,br BRA,MF,28-254,8,682.0,85.0,84.2,7.6,8,85.0,6,0,0.0,0,1.5,10.0,10.0,0.0,0.0,0.0,8.7,7.9,0.7,0.1,1.38,Matches
Nenê,br BRA,MF,42-337,8,573.0,72.0,70.7,6.4,8,72.0,1,0,0.0,0,1.63,7.0,6.0,1.0,0.16,0.54,6.4,8.6,-2.2,-0.35,-0.77,Matches
Jadson,br BRA,MF,30-295,7,625.0,89.0,77.2,6.9,7,89.0,5,0,0.0,0,1.86,8.0,4.0,4.0,0.58,2.52,7.5,7.8,-0.3,-0.04,0.37,Matches
Erick,br BRA,FW,27-169,9,524.0,58.0,64.7,5.8,6,65.0,0,3,45.0,0,1.44,8.0,7.0,1.0,0.17,0.49,6.0,7.6,-1.6,-0.28,-0.44,Matches
Zé Marcos,br BRA,DF,26-140,6,483.0,81.0,59.6,5.4,6,81.0,4,0,0.0,0,2.0,8.0,3.0,5.0,0.93,2.31,6.8,5.6,1.3,0.23,0.88,Matches
Marcelinho,br BRA,"FW,MF",21-192,9,481.0,53.0,59.4,5.3,6,64.0,0,3,32.0,0,1.44,8.0,6.0,2.0,0.37,0.92,6.5,5.8,0.8,0.14,0.66,Matches
Alan Ruschel,br BRA,DF,34-302,5,450.0,90.0,55.6,5.0,5,90.0,5,0,0.0,0,1.2,5.0,5.0,0.0,0.0,0.0,6.5,6.2,0.3,0.05,0.39,Matches
Gabriel Inocêncio,br BRA,DF,29-305,5,373.0,75.0,46.0,4.1,4,90.0,4,1,13.0,4,1.6,6.0,6.0,0.0,0.0,0.0,3.7,5.2,-1.4,-0.34,-0.41,Matches
Rodrigo Sam,br BRA,DF,28-332,6,375.0,63.0,46.3,4.2,3,90.0,3,3,35.0,2,1.33,4.0,7.0,-3.0,-0.72,-1.34,3.8,4.6,-0.8,-0.19,-0.13,Matches
Gilberto,br BRA,FW,35-015,6,235.0,39.0,29.0,2.6,3,50.0,0,3,28.0,0,1.5,2.0,1.0,1.0,0.38,0.54,3.0,2.3,0.7,0.28,0.56,Matches
Jean Carlos Vicente,br BRA,"FW,MF",32-126,4,224.0,56.0,27.7,2.5,3,68.0,1,1,20.0,0,1.75,4.0,3.0,1.0,0.4,0.56,2.4,3.4,-1.1,-0.43,-0.42,Matches
Luis Mandaca,br BRA,"MF,FW",22-262,7,198.0,28.0,24.4,2.2,2,73.0,0,5,10.0,2,1.29,2.0,6.0,-4.0,-1.82,-2.41,3.1,4.0,-0.9,-0.39,-0.35,Matches
Thiaguinho,br BRA,MF,27-070,4,141.0,35.0,17.4,1.6,1,77.0,0,3,21.0,3,1.25,2.0,2.0,0.0,0.0,0.0,1.7,3.2,-1.5,-0.93,-0.98,Matches
Luis Oyama,br BRA,MF,27-142,2,96.0,48.0,11.9,1.1,1,83.0,0,1,13.0,3,0.5,1.0,2.0,-1.0,-0.94,-1.06,2.0,0.8,1.2,1.09,1.38,Matches
Ewerton,br BRA,"DF,FW",23-223,2,94.0,47.0,11.6,1.0,1,77.0,0,1,17.0,3,2.0,1.0,1.0,0.0,0.0,0.0,0.8,1.3,-0.6,-0.53,-0.46,Matches
Lucas Freitas,br BRA,DF,23-152,1,37.0,37.0,4.6,0.4,1,37.0,0,0,0.0,7,0.0,0.0,2.0,-2.0,-4.86,-5.1,0.1,1.8,-1.7,-4.12,-4.19,Matches
Rildo,br BRA,"FW,MF",24-151,6,119.0,20.0,14.7,1.3,0,0.0,0,6,20.0,3,1.17,0.0,0.0,0.0,0.0,0.0,1.4,1.7,-0.3,-0.24,-0.14,Matches
Ruan,br BRA,"FW,MF",19-048,4,68.0,17.0,8.4,0.8,0,0.0,0,4,17.0,4,1.0,1.0,4.0,-3.0,-3.97,-4.33,0.7,1.7,-1.0,-1.34,-1.33,Matches
Gabriel Taliari,br BRA,"MF,FW",27-068,2,46.0,23.0,5.7,0.5,0,0.0,0,2,23.0,1,1.5,1.0,1.0,0.0,0.0,0.0,0.6,0.5,0.2,0.33,0.48,Matches
Werik Popó,br BRA,FW,22-247,4,36.0,9.0,4.4,0.4,0,0.0,0,4,9.0,2,2.0,1.0,0.0,1.0,2.5,2.62,1.3,0.5,0.7,1.82,2.03,Matches
Kleiton,br BRA,FW,25-058,1,29.0,29.0,3.6,0.3,0,0.0,0,1,29.0,3,1.0,0.0,1.0,-1.0,-3.1,-3.22,0.9,0.5,0.5,1.4,1.58,Matches
Abner,br BRA,MF,20-062,1,8.0,8.0,1.0,0.1,0,0.0,0,1,8.0,4,0.0,1.0,0.0,1.0,11.25,11.36,0.2,0.0,0.2,2.01,2.15,Matches
Peixoto,br BRA,MF,26-356,1,7.0,7.0,0.9,0.1,0,0.0,0,1,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.48,1.61,Matches
Mateus Claus,br BRA,GK,29-322,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
