Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Gustavo Hamer,nl NED,MF,26.0,32.3,4,49,13,26.5,1.52,0.4,0.08,0.31,23.5,6,0,0,3.0,3.0,0.06,1.0,1.0,Matches
Jayden Bogle,eng ENG,DF,23.0,31.0,3,32,11,34.4,1.03,0.36,0.09,0.27,16.2,0,0,0,2.3,2.3,0.07,0.7,0.7,Matches
Jack Robinson,eng ENG,DF,29.0,32.1,1,14,5,35.7,0.44,0.16,0.07,0.2,12.7,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Vinicius Souza,br BRA,MF,24.0,29.6,1,14,6,42.9,0.47,0.2,0.07,0.17,21.5,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Anel Ahmedhodžić,ba BIH,DF,24.0,29.4,2,19,5,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Matches
Wes Foderingham,eng ENG,GK,32.0,29.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Auston Trusty,us USA,DF,24.0,28.6,0,8,2,25.0,0.28,0.07,0.0,0.0,13.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Cameron Archer,eng ENG,"FW,MF",22.0,20.4,4,42,9,21.4,2.06,0.44,0.1,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,Matches
James Mcatee,eng ENG,"MF,FW",20.0,20.2,3,25,8,32.0,1.23,0.4,0.08,0.25,18.6,2,1,1,3.1,2.3,0.09,-0.1,-0.3,Matches
Oliver Norwood,nir NIR,MF,32.0,16.0,1,14,5,35.7,0.87,0.31,0.0,0.0,32.9,0,1,1,1.1,0.3,0.02,-0.1,-0.3,Matches
Oliver McBurnie,sct SCO,FW,27.0,14.2,6,31,15,48.4,2.18,1.05,0.13,0.27,11.9,0,2,2,6.9,5.3,0.17,-0.9,-1.3,Matches
Ben Osborn,eng ENG,"DF,MF",28.0,15.2,0,4,0,0.0,0.26,0.0,0.0,0.0,23.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Ben Brereton,cl CHI,"FW,MF",24.0,12.3,6,34,16,47.1,2.77,1.3,0.15,0.31,14.5,0,1,1,6.1,5.3,0.16,-0.1,-0.3,Matches
Andre Brooks,eng ENG,"MF,DF",19.0,10.4,0,9,2,22.2,0.86,0.19,0.0,0.0,19.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
George Baldock,gr GRE,DF,30.0,10.8,0,1,0,0.0,0.09,0.0,0.0,0.0,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Oliver Arblaster,eng ENG,MF,19.0,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Luke Thomas,eng ENG,DF,22.0,10.2,0,6,1,16.7,0.59,0.1,0.0,0.0,15.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
William Osula,dk DEN,FW,19.0,8.7,0,21,8,38.1,2.4,0.92,0.0,0.0,14.4,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
Ivo Grbić,hr CRO,GK,27.0,8.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Mason Holgate,eng ENG,DF,26.0,7.9,0,3,0,0.0,0.38,0.0,0.0,0.0,6.5,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
Yasser Larouci,dz ALG,DF,22.0,5.9,0,6,1,16.7,1.02,0.17,0.0,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
John Egan,ie IRL,DF,30.0,5.4,0,3,1,33.3,0.56,0.19,0.0,0.0,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Max Lowe,eng ENG,"DF,MF",26.0,5.6,0,2,0,0.0,0.36,0.0,0.0,0.0,10.4,0,0,0,0.6,0.6,0.29,-0.6,-0.6,Matches
Anis Ben Slimane,tn TUN,MF,22.0,4.7,0,8,3,37.5,1.72,0.64,0.0,0.0,18.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
Bénie Adama Traore,ci CIV,"FW,MF",20.0,4.3,0,1,1,100.0,0.23,0.23,0.0,0.0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
Rhian Brewster,eng ENG,"FW,MF",23.0,3.8,0,7,3,42.9,1.82,0.78,0.0,0.0,23.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
