Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Mats Köhlert,de GER,DF,25.0,33,2957.0,90.0,96.6,32.9,33,90.0,31,0,0.0,0,1.12,51.0,66.0,-15.0,-0.46,1.29,46.2,50.3,-4.1,-0.12,1.96,Matches
Simon Olsson,se SWE,"MF,FW",25.0,34,2729.0,80.0,89.2,30.3,32,84.0,20,2,23.0,0,1.09,48.0,61.0,-13.0,-0.43,0.66,41.1,46.5,-5.4,-0.18,0.11,Matches
Sven van Beek,nl NED,DF,29.0,30,2617.0,87.0,85.5,29.1,30,87.0,27,0,0.0,0,1.03,45.0,59.0,-14.0,-0.48,0.13,40.5,42.4,-1.9,-0.06,0.87,Matches
Thom Haye,id IDN,MF,28.0,32,2610.0,82.0,85.3,29.0,29,88.0,23,3,23.0,0,1.16,46.0,55.0,-9.0,-0.31,1.29,42.6,42.9,-0.3,-0.01,1.22,Matches
Osame Sahraoui,no NOR,FW,22.0,32,2469.0,77.0,80.7,27.4,28,84.0,19,4,27.0,0,0.97,39.0,57.0,-18.0,-0.66,-0.81,35.3,43.0,-7.7,-0.28,-0.47,Matches
Paweł Bochniewicz,pl POL,DF,27.0,29,2311.0,80.0,75.5,25.7,26,88.0,23,3,11.0,1,1.07,43.0,51.0,-8.0,-0.31,0.77,34.1,38.0,-3.9,-0.15,0.15,Matches
Pelle van Amersfoort,nl NED,FW,27.0,31,2130.0,69.0,69.6,23.7,26,74.0,5,5,43.0,0,1.0,33.0,40.0,-7.0,-0.3,0.67,31.9,32.7,-0.8,-0.03,0.52,Matches
Luuk Brouwers,nl NED,MF,25.0,26,2025.0,78.0,66.2,22.5,25,80.0,8,1,29.0,0,1.12,33.0,45.0,-12.0,-0.53,-0.1,32.9,35.1,-2.1,-0.09,0.28,Matches
Oliver Braude,no NOR,DF,19.0,28,2116.0,76.0,69.2,23.5,24,86.0,14,4,16.0,5,1.11,37.0,47.0,-10.0,-0.43,0.24,32.9,34.1,-1.2,-0.05,0.45,Matches
Andries Noppert,nl NED,GK,29.0,22,1980.0,90.0,64.7,22.0,22,90.0,22,0,0.0,12,1.0,31.0,43.0,-12.0,-0.55,-0.13,33.3,36.3,-3.0,-0.14,0.15,Matches
