Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Andries Noppert,nl NED,GK,29.0,22.0,43,3,0,2,1,40.4,0.37,-1.6,-0.07,106,269,39.4,574,114,32.9,32.2,137,58.4,44.8,322,20,6.2,16,0.73,12.1,Matches
Mickey van der Hart,nl NED,GK,29.0,12.0,27,1,0,5,1,20.2,0.34,-5.8,-0.48,69,189,36.5,339,43,40.7,34.8,86,59.3,47.7,184,7,3.8,4,0.33,10.0,Matches
Squad Total,0,0,25.4,34.0,70,4,0,7,2,60.6,0.36,-7.4,-0.22,175,458,38.2,857,157,37.9,34.8,279,47.7,39.1,506,27,5.3,20,0.59,10.0,0
Opponent Total,0,0,25.2,34.0,53,7,0,5,1,49.1,0.26,-2.9,-0.09,223,581,38.4,1000,110,44.9,38.1,286,46.2,39.4,495,23,4.6,31,0.91,15.2,0
