Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Brice Samba,fr FRA,GK,29.0,33,33,2970,33.0,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3,Matches
Jean-Louis Leca,fr FRA,GK,37.0,1,1,90,1.0,2,2.0,2,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.7,34,34,3060,34.0,37,1.09,138,101,77.5,14,9,11,14,41.2,8,6,1,1,14.3,0
Opponent Total,0,0,25.6,34,34,3060,34.0,45,1.32,174,128,77.6,11,9,14,7,20.6,7,6,1,0,14.3,0
