Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Brice Samba,fr FRA,GK,29.0,33.0,35,6,0,6,1,42.3,0.27,8.3,0.25,163,369,44.2,948,143,31.8,31.5,170,40.0,33.5,388,32,8.2,39,1.18,14.8,Matches
Jean-Louis Leca,fr FRA,GK,37.0,1.0,2,0,0,0,0,1.0,0.49,-1.0,-1.03,1,10,10.0,22,5,31.8,29.0,4,75.0,60.5,8,0,0.0,0,0.0,9.8,Matches
Squad Total,0,0,26.7,34.0,37,6,0,6,1,43.3,0.28,7.3,0.21,164,379,43.3,923,148,33.3,29.0,221,32.6,29.1,396,32,8.1,39,1.15,9.8,0
Opponent Total,0,0,25.6,34.0,45,6,0,6,0,48.0,0.24,3.0,0.09,168,520,32.3,994,143,39.7,36.5,275,45.5,36.6,596,30,5.0,27,0.79,12.3,0
