Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Léo Jardim,br BRA,GK,29-092,10.0,21,0,0,4,1,22.1,0.34,2.1,0.21,52,110,47.3,176,40,43.2,36.2,82,41.5,38.5,147,5,3.4,1,0.1,10.6,Matches
Squad Total,0,0,28.1,10.0,21,0,0,4,1,22.1,0.34,2.1,0.21,52,110,47.3,175,40,43.4,0.0,83,41.0,38.0,147,5,3.4,1,0.1,0.0,0
Opponent Total,0,0,28.1,10.0,7,0,0,3,0,9.3,0.24,2.3,0.23,22,52,42.3,196,36,20.9,29.4,70,15.7,22.7,165,7,4.2,8,0.8,12.8,0
