Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Jordi Masip,es ESP,GK,35-170,31,31,2790,31.0,22,0.71,100,77,78.0,15,8,8,15,48.4,1,0,1,0,100.0,Matches
John,br BRA,GK,28-129,11,11,990,11.0,14,1.27,43,29,69.8,6,1,4,5,45.5,2,1,0,1,0.0,Matches
Squad Total,0,0,27.7,42,42,3780,42.0,36,0.86,143,106,75.5,21,9,12,20,47.6,3,1,1,1,50.0,0
Opponent Total,0,0,27.6,42,42,3780,42.0,51,1.21,172,121,70.9,12,9,21,13,31.0,4,1,2,1,66.7,0
