Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Calvin Verdonk,id IDN,DF,26.0,33,2854.0,86.0,93.3,31.7,32,89.0,29,1,3.0,0,1.47,63.0,51.0,12.0,0.38,-1.81,45.8,57.8,-12.1,-0.38,-0.34,Matches
Jasper Cillessen,nl NED,GK,34.0,30,2640.0,88.0,86.3,29.3,30,88.0,29,0,0.0,1,1.55,59.0,46.0,13.0,0.44,-0.41,41.4,53.8,-12.4,-0.42,-0.47,Matches
Bram Nuytinck,nl NED,DF,33.0,30,2400.0,80.0,78.4,26.7,28,85.0,24,2,9.0,0,1.48,47.0,37.0,10.0,0.37,-0.58,36.1,40.7,-4.7,-0.17,0.85,Matches
Dirk Proper,nl NED,MF,21.0,27,2299.0,85.0,75.1,25.5,27,85.0,21,0,0.0,0,1.43,44.0,39.0,5.0,0.2,-1.22,33.6,44.2,-10.6,-0.41,-0.22,Matches
Koki Ogawa,jp JPN,FW,25.0,31,2201.0,71.0,71.9,24.5,25,83.0,12,6,21.0,2,1.44,47.0,39.0,8.0,0.33,-0.62,35.3,42.5,-7.2,-0.29,0.23,Matches
Sontje Hansen,nl NED,FW,21.0,33,1910.0,58.0,62.4,21.2,25,68.0,0,8,25.0,1,1.52,45.0,31.0,14.0,0.66,0.42,31.8,33.4,-1.6,-0.08,0.75,Matches
Bart van Rooij,nl NED,DF,22.0,24,1975.0,82.0,64.5,21.9,23,83.0,18,1,55.0,0,1.46,43.0,38.0,5.0,0.23,-0.77,31.8,36.8,-5.0,-0.23,0.37,Matches
Mees Hoedemakers,nl NED,MF,25.0,30,1949.0,65.0,63.7,21.7,23,80.0,11,7,16.0,2,1.61,46.0,29.0,17.0,0.79,0.79,31.2,35.3,-4.1,-0.19,0.47,Matches
Philippe Sandler,nl NED,DF,26.0,24,1873.0,78.0,61.2,20.8,23,81.0,15,1,1.0,0,1.71,40.0,22.0,18.0,0.86,0.94,29.2,32.4,-3.2,-0.15,0.52,Matches
Magnus Mattsson,dk DEN,MF,24.0,19,1710.0,90.0,55.9,19.0,19,90.0,19,0,0.0,0,1.37,36.0,32.0,4.0,0.21,-0.66,24.4,35.0,-10.7,-0.56,-0.46,Matches
