Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Guillaume Restes,fr FRA,GK,18.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,0.0,0,1.26,42.0,46.0,-4.0,-0.12,0.0,40.3,48.1,-7.8,-0.23,0.0,Matches
Rasmus Nicolaisen,dk DEN,DF,26.0,33,2925.0,89.0,95.6,32.5,33,89.0,31,0,0.0,0,1.21,39.0,44.0,-5.0,-0.15,-0.82,38.4,45.6,-7.2,-0.22,0.16,Matches
Logan Costa,cv CPV,DF,22.0,31,2650.0,85.0,86.6,29.4,29,89.0,28,2,32.0,0,1.19,37.0,37.0,0.0,0.0,0.88,35.0,41.0,-6.0,-0.2,0.19,Matches
Thijs Dallinga,nl NED,FW,22.0,33,2510.0,76.0,82.0,27.9,28,84.0,16,5,31.0,0,1.3,35.0,37.0,-2.0,-0.07,0.26,34.0,39.6,-5.6,-0.2,0.16,Matches
Gabriel Suazo,cl CHI,DF,25.0,31,2357.0,76.0,77.0,26.2,27,84.0,17,4,25.0,1,1.16,30.0,38.0,-8.0,-0.31,-0.82,28.6,36.6,-7.9,-0.3,-0.32,Matches
Vincent Sierro,ch SUI,MF,27.0,30,2261.0,75.0,73.9,25.1,25,85.0,16,5,26.0,2,1.33,33.0,32.0,1.0,0.04,0.6,30.4,33.6,-3.2,-0.13,0.39,Matches
Cristian Cásseres Jr.,ve VEN,MF,23.0,32,1946.0,61.0,63.6,21.6,23,78.0,11,9,16.0,2,1.31,28.0,30.0,-2.0,-0.09,0.07,24.2,29.2,-4.9,-0.23,0.0,Matches
Aron Dønnum,no NOR,"FW,MF",25.0,27,1595.0,59.0,52.1,17.7,19,74.0,1,8,23.0,1,1.26,19.0,25.0,-6.0,-0.34,-0.46,21.3,24.5,-3.2,-0.18,0.1,Matches
Mikkel Desler,dk DEN,DF,28.0,24,1544.0,64.0,50.5,17.2,19,75.0,8,5,24.0,2,1.21,19.0,21.0,-2.0,-0.12,0.0,20.4,22.0,-1.6,-0.09,0.28,Matches
Stijn Spierings,nl NED,MF,27.0,22,1516.0,69.0,49.5,16.8,16,86.0,12,6,24.0,3,1.14,18.0,21.0,-3.0,-0.18,-0.12,20.0,22.8,-2.8,-0.16,0.13,Matches
Moussa Diarra,ml MLI,DF,22.0,22,1397.0,64.0,45.7,15.5,15,83.0,10,7,22.0,4,1.27,21.0,19.0,2.0,0.13,0.45,15.5,24.5,-9.0,-0.58,-0.64,Matches
Niklas Schmidt,de GER,MF,25.0,22,1269.0,58.0,41.5,14.1,15,76.0,6,7,19.0,4,1.23,15.0,20.0,-5.0,-0.35,-0.4,17.8,18.6,-0.8,-0.06,0.3,Matches
Frank Magri,cm CMR,"FW,MF",23.0,29,1438.0,50.0,47.0,16.0,14,80.0,5,15,21.0,0,1.24,18.0,21.0,-3.0,-0.19,-0.13,20.7,23.0,-2.3,-0.14,0.17,Matches
Yann Gboho,fr FRA,"MF,FW",22.0,16,1193.0,75.0,39.0,13.3,13,85.0,4,3,29.0,0,1.63,23.0,17.0,6.0,0.45,0.93,18.3,14.3,4.0,0.3,0.87,Matches
Waren Kamanzi,no NOR,"DF,FW",22.0,24,1187.0,49.0,38.8,13.2,12,77.0,6,12,22.0,8,1.25,15.0,20.0,-5.0,-0.38,-0.43,16.1,19.9,-3.8,-0.28,-0.09,Matches
Christian Mawissa,fr FRA,DF,18.0,17,1118.0,66.0,36.5,12.4,12,82.0,9,5,26.0,8,1.71,21.0,19.0,2.0,0.16,0.44,17.9,15.7,2.3,0.18,0.65,Matches
Gelabert,es ESP,"MF,FW",22.0,16,754.0,47.0,24.6,8.4,10,68.0,0,6,12.0,17,1.06,9.0,12.0,-3.0,-0.36,-0.32,6.9,14.7,-7.8,-0.94,-0.94,Matches
Zakaria Aboukhlal,ma MAR,"MF,FW",23.0,13,754.0,58.0,24.6,8.4,9,74.0,1,4,21.0,0,1.54,11.0,10.0,1.0,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,Matches
Kévin Keben Biakolo,cm CMR,DF,19.0,8,521.0,65.0,17.0,5.8,7,69.0,2,1,37.0,16,1.63,9.0,8.0,1.0,0.17,0.35,6.6,8.1,-1.5,-0.25,-0.03,Matches
Denis Genreau,au AUS,"MF,FW",24.0,9,464.0,52.0,15.2,5.2,5,75.0,1,4,22.0,7,0.89,4.0,7.0,-3.0,-0.58,-0.55,5.2,10.5,-5.3,-1.02,-0.93,Matches
Shavy Babicka,ga GAB,"FW,MF",23.0,12,373.0,31.0,12.2,4.1,4,67.0,1,8,13.0,3,1.58,7.0,8.0,-1.0,-0.24,-0.14,5.1,3.6,1.5,0.37,0.68,Matches
Yanis Begraoui,ma MAR,"FW,MF",22.0,14,300.0,21.0,9.8,3.3,3,61.0,0,11,11.0,2,0.86,3.0,7.0,-4.0,-1.2,-1.2,3.3,8.5,-5.1,-1.55,-1.46,Matches
Ibrahim Cissoko,nl NED,"FW,MF",20.0,11,241.0,22.0,7.9,2.7,2,59.0,0,9,14.0,9,0.55,3.0,3.0,0.0,0.0,0.13,3.3,3.3,0.0,0.0,0.25,Matches
Naatan Skyttä,fi FIN,"MF,FW",21.0,8,120.0,15.0,3.9,1.3,0,0.0,0,8,15.0,4,0.88,1.0,2.0,-1.0,-0.75,-0.66,3.4,3.7,-0.3,-0.21,0.02,Matches
Mamady Bangré,bf BFA,"FW,MF",22.0,8,101.0,13.0,3.3,1.1,0,0.0,0,8,13.0,6,0.75,1.0,1.0,0.0,0.0,0.12,1.6,2.1,-0.5,-0.44,-0.22,Matches
Fares Chaïbi,dz ALG,"FW,MF",20.0,2,58.0,29.0,1.9,0.6,0,0.0,0,2,29.0,0,1.5,1.0,1.0,0.0,0.0,0.12,0.2,2.0,-1.8,-2.79,-2.61,Matches
Ylies Aradj,fr FRA,DF,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Álex Domínguez,es ESP,GK,25.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Noah Edjouma,fr FRA,FW,17.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Noah Lahmadi,fr FRA,MF,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafik Messali,fr FRA,MF,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
