Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Téji Savanier,fr FRA,MF,31.0,32,2765.0,86.0,90.4,30.7,32,86.0,19,0,0.0,0,1.28,38.0,42.0,-4.0,-0.13,0.17,42.0,41.7,0.3,0.01,1.57,Matches
Benjamin Lecomte,fr FRA,GK,32.0,30,2700.0,90.0,88.2,30.0,30,90.0,30,0,0.0,0,1.27,37.0,37.0,0.0,0.0,1.25,41.4,40.5,0.8,0.03,1.44,Matches
Joris Chotard,fr FRA,MF,21.0,31,2587.0,83.0,84.5,28.7,30,84.0,22,1,57.0,0,1.23,35.0,38.0,-3.0,-0.1,0.28,37.2,44.5,-7.4,-0.26,-0.74,Matches
Akor Adams,ng NGA,FW,23.0,32,2252.0,70.0,73.6,25.0,27,80.0,10,5,21.0,1,1.22,29.0,32.0,-3.0,-0.12,0.1,32.6,35.3,-2.7,-0.11,0.13,Matches
Becir Omeragic,ch SUI,"DF,MF",21.0,28,2312.0,83.0,75.6,25.7,26,88.0,24,2,17.0,2,1.32,28.0,28.0,0.0,0.0,0.6,32.0,37.9,-5.9,-0.23,-0.35,Matches
Musa Al-Taamari,jo JOR,FW,26.0,27,1928.0,71.0,63.0,21.4,24,78.0,8,3,23.0,0,1.41,27.0,29.0,-2.0,-0.09,0.15,27.7,28.3,-0.6,-0.03,0.31,Matches
Jordan Ferri,fr FRA,MF,31.0,30,2031.0,68.0,66.4,22.6,23,80.0,10,7,26.0,0,1.23,33.0,33.0,0.0,0.0,0.44,32.0,29.7,2.2,0.1,0.72,Matches
Boubakar Kouyaté,ml MLI,DF,26.0,23,1928.0,84.0,63.0,21.4,22,88.0,19,1,2.0,1,1.3,32.0,36.0,-4.0,-0.19,-0.11,32.7,29.0,3.8,0.18,0.86,Matches
Issiaga Sylla,gn GUI,"DF,FW",29.0,19,1455.0,77.0,47.5,16.2,17,85.0,14,2,7.0,1,1.26,25.0,24.0,1.0,0.06,0.4,22.5,23.3,-0.8,-0.05,0.18,Matches
Falaye Sacko,ml MLI,DF,28.0,19,1382.0,73.0,45.2,15.4,15,86.0,13,4,22.0,6,1.0,17.0,24.0,-7.0,-0.46,-0.56,21.6,20.4,1.2,0.08,0.4,Matches
Arnaud Nordin,fr FRA,"FW,MF",25.0,20,1246.0,62.0,40.7,13.8,15,76.0,4,5,20.0,0,1.25,23.0,21.0,2.0,0.14,0.49,22.3,18.9,3.4,0.24,0.65,Matches
Christopher Jullien,fr FRA,DF,30.0,20,1233.0,62.0,40.3,13.7,13,87.0,11,7,15.0,8,1.4,18.0,18.0,0.0,0.0,0.25,16.1,22.2,-6.2,-0.45,-0.52,Matches
Wahbi Khazri,tn TUN,FW,32.0,25,1131.0,45.0,37.0,12.6,13,69.0,1,12,20.0,0,1.08,17.0,18.0,-1.0,-0.08,0.11,18.4,19.3,-0.9,-0.07,0.11,Matches
Modibo Sagnan,ml MLI,DF,24.0,13,1054.0,81.0,34.4,11.7,12,88.0,9,1,1.0,1,1.46,18.0,17.0,1.0,0.09,0.35,17.3,21.9,-4.6,-0.4,-0.39,Matches
Maxime Estève,fr FRA,DF,21.0,12,995.0,83.0,32.5,11.1,12,83.0,9,0,0.0,5,1.17,8.0,12.0,-4.0,-0.36,-0.32,12.5,14.9,-2.4,-0.2,-0.1,Matches
Lucas Mincarelli,fr FRA,"DF,MF",19.0,13,978.0,75.0,32.0,10.9,12,81.0,6,1,5.0,9,1.23,13.0,14.0,-1.0,-0.09,0.08,14.8,17.9,-3.1,-0.28,-0.21,Matches
Enzo Tchato,cm CMR,DF,20.0,17,1125.0,66.0,36.8,12.5,11,86.0,8,6,30.0,14,1.41,16.0,18.0,-2.0,-0.16,-0.02,18.3,17.2,1.1,0.09,0.36,Matches
Khalil Fayad,fr FRA,"FW,MF",19.0,23,1025.0,45.0,33.5,11.4,11,67.0,0,12,24.0,7,0.91,7.0,19.0,-12.0,-1.05,-1.36,13.4,18.4,-5.0,-0.44,-0.44,Matches
Silvan Hefti,ch SUI,"DF,FW",25.0,11,711.0,65.0,23.2,7.9,9,76.0,5,2,13.0,5,1.55,13.0,10.0,3.0,0.38,0.69,9.4,16.5,-7.2,-0.91,-1.0,Matches
Tanguy Coulibaly,fr FRA,"FW,MF",22.0,16,623.0,39.0,20.4,6.9,7,61.0,1,9,22.0,2,1.44,11.0,14.0,-3.0,-0.43,-0.36,11.9,12.6,-0.7,-0.09,0.06,Matches
Dimitry Bertaud,cd COD,GK,25.0,4,360.0,90.0,11.8,4.0,4,90.0,4,0,0.0,25,1.0,6.0,11.0,-5.0,-1.25,-1.25,4.7,10.3,-5.6,-1.41,-1.44,Matches
Léo Leroy,fr FRA,MF,23.0,21,499.0,24.0,16.3,5.5,3,72.0,1,18,16.0,6,1.18,9.0,12.0,-3.0,-0.54,-0.47,7.9,10.3,-2.4,-0.44,-0.35,Matches
Théo Sainte-Luce,fr FRA,DF,24.0,6,346.0,58.0,11.3,3.8,3,79.0,1,3,37.0,7,0.5,1.0,6.0,-5.0,-1.3,-1.3,3.8,3.9,-0.2,-0.04,0.11,Matches
Yann Karamoh,fr FRA,"FW,MF",25.0,12,284.0,24.0,9.3,3.2,1,60.0,0,11,20.0,2,1.33,7.0,5.0,2.0,0.63,0.86,4.1,6.2,-2.0,-0.65,-0.56,Matches
Axel Gueguin,fr FRA,"DF,FW",18.0,3,132.0,44.0,4.3,1.5,1,90.0,1,2,21.0,2,0.33,0.0,2.0,-2.0,-1.36,-1.27,0.7,3.6,-3.0,-2.04,-1.98,Matches
Othmane Maamma,fr FRA,FW,17.0,2,88.0,44.0,2.9,1.0,1,58.0,0,1,30.0,2,0.5,1.0,3.0,-2.0,-2.05,-1.95,1.2,3.9,-2.7,-2.81,-2.75,Matches
Kelvin Yeboah,it ITA,FW,23.0,13,276.0,21.0,9.0,3.1,0,0.0,0,13,21.0,3,1.08,2.0,4.0,-2.0,-0.65,-0.56,3.8,6.3,-2.5,-0.8,-0.73,Matches
Sacha Delaye,fr FRA,"MF,FW",21.0,9,130.0,14.0,4.2,1.4,0,0.0,0,9,14.0,18,0.89,1.0,0.0,1.0,0.69,0.88,2.9,2.4,0.5,0.33,0.49,Matches
