Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Benjamin Lecomte,fr FRA,GK,32.0,30.0,37,4,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5,Matches
Dimitry Bertaud,cd COD,GK,25.0,4.0,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38.0,23,47.8,42.5,56,3,5.4,0,0.0,9.6,Matches
Squad Total,0,0,26.1,34.0,48,4,2,4,3,47.7,0.25,2.7,0.08,168,497,33.8,851,163,45.9,0.0,292,36.3,33.2,527,32,6.1,13,0.38,0.0,0
Opponent Total,0,0,25.8,34.0,43,7,0,7,2,45.4,0.24,4.4,0.13,126,352,35.8,837,179,29.4,31.8,230,46.1,36.3,478,39,8.2,30,0.88,11.6,0
