Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Rafael Pires,br BRA,GK,34-363,7,7,630,7.0,6,0.86,18,13,66.7,4,1,2,3,42.9,0,0,0,0,0.0,Matches
Jandrei,br BRA,GK,31-111,3,3,270,3.0,3,1.0,11,8,72.7,0,2,1,1,33.3,0,0,0,0,0.0,Matches
Squad Total,0,0,28.5,10,10,900,10.0,9,0.9,29,21,69.0,4,3,3,4,40.0,0,0,0,0,0.0,0
Opponent Total,0,0,28.0,10,10,900,10.0,14,1.4,49,36,73.5,3,3,4,3,30.0,1,1,0,0,0.0,0
